x
474
413
468
461
70
161
474
185
287
119
76
78
308
111
246
441
82
249
90
459
232
421
118
338
113
360
114
178
501
379
59
97
85
145
358
209
103
565
306
62
77
123
243
319
116
106
207
295
328
308
522
622
352
95
453
184
76
384
141
532
249
417
205
175
73
192
86
116
885
36
373
49
633
252
80
147
140
253
102
107
319
238
174
92
195
578
305
273
282
418
378
183
159
645
359
362
902
261
249
278
99
267
85
220
