etcsl_no,text_name,version,l_no,text
c.1.3.5,Inana and An,,A1,
c.1.3.5,Inana and An,,A2,sux:kug[shining]AJ sux:Inana[1]DN
c.1.3.5,Inana and An,,A3,sux:ur-saŋ[hero]N sux:šul[young-man]N sux:Utu[1]DN
c.1.3.5,Inana and An,,A4,sux:ŋi₆[night]N sux:u₃-na[designation-of-night]N
c.1.3.5,Inana and An,,A5,sux:E-ana[1]TN
c.1.3.5,Inana and An,,A6,sux:Inana[1]DN
c.1.3.5,Inana and An,,A7,sux:an[heaven]N sux:gal[to-be-big]V
c.1.3.5,Inana and An,,B1,
c.1.3.5,Inana and An,,B2,sux:E-ana[1]TN sux:an[heaven]N sux:e₃[to-go-out-or-in]V
c.1.3.5,Inana and An,,B3,sux:nin[lady]N sux:an[heaven]N sux:an[heaven]N sux:gal[to-be-big]V sux:kar[to-flee]V sux:ŋeštug₂[ear]N sux:gub[to-stand]V
c.1.3.5,Inana and An,,B4,sux:Inana[1]DN sux:an[heaven]N sux:gal[to-be-big]V sux:kar[to-flee]V sux:ŋeštug₂[ear]N sux:gub[to-stand]V
c.1.3.5,Inana and An,,B5,sux:an[heaven]N sux:an[heaven]N sux:gal[to-be-big]V sux:kar[to-flee]V sux:ŋeštug₂[ear]N sux:gub[to-stand]V
c.1.3.5,Inana and An,,B6,sux:šul[young-man]N sux:Utu[1]DN sux:an[heaven]N sux:gal[to-be-big]V sux:kar[to-flee]V sux:ŋeštug₂[ear]N sux:gub[to-stand]V
c.1.3.5,Inana and An,,B7,sux:šeš[brother]N sux:ur-saŋ[hero]N sux:šul[young-man]N sux:Utu[1]DN sux:kug[shining]AJ sux:Inana[1]DN sux:gu₃[voice]N sux:de₂[to-pour]V
c.1.3.5,Inana and An,,B8,sux:inim[word]N sux:dug₄[to-say]V sux:inim[word]N sux:ŋeštug₂[ear]N
c.1.3.5,Inana and An,,B9,sux:maš[twin]N sux:inim[word]N sux:dug₄[to-say]V sux:inim[word]N sux:ŋeštug₂[ear]N
c.1.3.5,Inana and An,,B10,sux:šeš[brother]N sux:ur-saŋ[hero]N sux:šul[young-man]N sux:Utu[1]DN sux:kug[shining]AJ sux:Inana[1]DN sux:gi₄[to-return]V
c.1.3.5,Inana and An,,B11,sux:nin₉[sister]N sux:zi[life-(breath)]N sux:an[heaven]N sux:nam-erim₂[oath]N sux:pad₃[to-find]V
c.1.3.5,Inana and An,,B12,sux:zi[life-(breath)]N sux:IM.ŠEŠ[rainbow?]N sux:an[heaven]N sux:tuš[to-sit]V sux:pad₃[to-find]V
