etcsl_no,text_name,version,l_no,text
c.3.3.09,Letter from Lugal-nesaŋe to Enlil-massu,,1,sux:Enlil-masssu[1]PN sux:dim₂-ma[reasoning]N sux:ad[voice]N sux:gi₄[to-return]V sux:sag₉[to-be-good]V sux:ka[mouth]N sux:lal₃[syrup]N sux:inim[word]N sux:gun₃[to-be-multicoloured]V sux:dug₄[to-say]V
c.3.3.09,Letter from Lugal-nesaŋe to Enlil-massu,,2,sux:dumu[child]N sux:diŋir[deity]N sux:gub[to-stand]V sux:a-a[father]N sux:ama[mother]N sux:ni₂[fear(someness)]N sux:te[to-approach]V
c.3.3.09,Letter from Lugal-nesaŋe to Enlil-massu,,3,sux:tah[to-add]V
c.3.3.09,Letter from Lugal-nesaŋe to Enlil-massu,,4,sux:alad[guardian-deity]N sux:lamma[guardian-deity]N sux:diŋir[deity]N sux:kal[to-be-rare]V sux:ulutim₂[form]N sux:alan[statue]N sux:zil₂[to-be-pleasing]V
c.3.3.09,Letter from Lugal-nesaŋe to Enlil-massu,,5,sux:me-te[(fitting)-attribute]N sux:nam-dub-sar[scribe's-craft]N
c.3.3.09,Letter from Lugal-nesaŋe to Enlil-massu,,6,sux:ur-saŋ[hero]N sux:šag₄-tam[type-of-administrator]N sux:he₂-du₇[(fitting)-ornament]N sux:e₂-gal[palace]N sux:a₂[arm]N sux:aŋ₂[to-measure]V sux:ki[place]N sux:gi₄[to-return]V
c.3.3.09,Letter from Lugal-nesaŋe to Enlil-massu,,7,sux:šag₄[heart]N sux:lugal[king]N sux:dug₃[to-be-good]V sux:peš[to-triple]V
c.3.3.09,Letter from Lugal-nesaŋe to Enlil-massu,,8,sux:Lugal-nesaŋe[1]PN sux:nu-eš₃[type-of-priest]N sux:Enlil[1]DN sux:lu₂[person]N sux:zu₂[tooth]N sux:li₉[verb-part-of-multiword-verb]V sux:lugal[king]N
c.3.3.09,Letter from Lugal-nesaŋe to Enlil-massu,,9,sux:dumu[child]N sux:Enlil-alsag[1]PN sux:um-mi-a[scholar]N sux:Nibru[1]SN sux:ad-da[father]N sux:dug₄[to-say]V
c.3.3.09,Letter from Lugal-nesaŋe to Enlil-massu,,10,sux:ud[day(light)]N sux:uru₁₆[to-be-towering]V sux:hu-bu-uš[to-crush]V
c.3.3.09,Letter from Lugal-nesaŋe to Enlil-massu,,11,sux:šag₄[heart]N sux:šub[to-fall]V sux:enmen₂[thirst]N sux:šag₄-ŋar[hunger]N sux:tur[to-be-small]V
c.3.3.09,Letter from Lugal-nesaŋe to Enlil-massu,,12,sux:nam[destiny]N sux:gu₇[to-eat]V sux:i-si-iš[tears-(of-joy)]N sux:sig₉[to-put]V
c.3.3.09,Letter from Lugal-nesaŋe to Enlil-massu,,13,sux:mah[to-be-majestic]V sux:sur[to-drip]V
c.3.3.09,Letter from Lugal-nesaŋe to Enlil-massu,,14,sux:bar[outside]N sux:saŋ₅[to-choose]V sux:til[to-complete]V
c.3.3.09,Letter from Lugal-nesaŋe to Enlil-massu,,15,sux:lib[(deathly)-silence]N sux:bar[to-set-aside]V sux:ak[to-do]V sux:šu[hand]N sux:dag[to-roam-around]V
c.3.3.09,Letter from Lugal-nesaŋe to Enlil-massu,,16,sux:ŋeštug₂[ear]N sux:šag₄[heart]N sux:lul[to-be-false]V sux:ŋar[to-place]V
c.3.3.09,Letter from Lugal-nesaŋe to Enlil-massu,,17,sux:ni₂[fear(someness)]N sux:te[to-approach]V sux:šag₄[heart]N sux:uš₂[gore]N sux:lugud[pus]N sux:si[to-fill]V
c.3.3.09,Letter from Lugal-nesaŋe to Enlil-massu,,18,sux:en₃[noun-part-of-multiword-verb]N sux:tar[to-cut]V sux:zi[life-(breath)]N sux:ir[verb-part-of-multiword-verb]V
c.3.3.09,Letter from Lugal-nesaŋe to Enlil-massu,,19,sux:ki[place]N sux:nam[destiny]N sux:tar[to-cut]V sux:ŋen[to-go]V
c.3.3.09,Letter from Lugal-nesaŋe to Enlil-massu,,20,sux:dug₄[to-say]V sux:Enlil[1]DN sux:muš₃-me[countenance]N sux:igi[eye]N sux:du₈[to-spread]V
