etcsl_no,text_name,version,l_no,text
c.2.5.5.2,A praise poem of Lipit-Eštar (Lipit-Eštar B),,1,sux:Lipit-Eštar[1]RN sux:lugal[king]N sux:saŋ[head]N sux:il₂[to-raise]V sux:nun[prince]N sux:barag[dais]N
c.2.5.5.2,A praise poem of Lipit-Eštar (Lipit-Eštar B),,2,sux:he₂-du₇[(fitting)-ornament]N sux:isimu₂[(off)shoot]N sux:nam-lugal[kingship]N
c.2.5.5.2,A praise poem of Lipit-Eštar (Lipit-Eštar B),,3,sux:Utu[1]DN sux:ŋen[to-go]V sux:še-er-zid[radiance]N sux:kalam[the-Land]N
c.2.5.5.2,A praise poem of Lipit-Eštar (Lipit-Eštar B),,4,sux:nam-nun[princeliness]N sux:mah[to-be-majestic]V sux:me[essence]N sux:gal[to-be-big]V sux:u₅[to-ride]V
c.2.5.5.2,A praise poem of Lipit-Eštar (Lipit-Eštar B),,5,sux:ub[corner]N sux:4[4]NU sux:uŋ₃[people]N sux:ki[place]N sux:ŋar[to-place]V
c.2.5.5.2,A praise poem of Lipit-Eštar (Lipit-Eštar B),,6,sux:še[to-agree]V sux:Enlil[1]DN sux:Ninlil[1]DN sux:ki[place]N sux:aŋ₂[to-measure]V
c.2.5.5.2,A praise poem of Lipit-Eštar (Lipit-Eštar B),,7,sux:šul[young-man]N sux:zid[right]AJ sux:igi[eye]N sux:gun₃[to-be-multicoloured]V sux:barag[dais]N sux:tum₂[to-be-suitable]V
c.2.5.5.2,A praise poem of Lipit-Eštar (Lipit-Eštar B),,8,sux:men[diadem]N sux:aga[crown]N sux:zid[right]AJ sux:saŋ[head]N sux:me-te-ŋal₂[seemly]AJ
c.2.5.5.2,A praise poem of Lipit-Eštar (Lipit-Eštar B),,9,sux:šibir[shepherd's-crook]N sux:šu[hand]N sux:du₈[to-spread]V sux:saŋ[head]N sux:gig₂[to-be-black]V
c.2.5.5.2,A praise poem of Lipit-Eštar (Lipit-Eštar B),,10,sux:nun[prince]N sux:Lipit-Eštar[1]RN sux:dumu[child]N sux:Enlil[1]DN sux:sipad[shepherd]N sux:igi-ŋal₂-tuku[wise]AJ
c.2.5.5.2,A praise poem of Lipit-Eštar (Lipit-Eštar B),,11,sux:uŋ₃[people]N sux:de₆[to-carry]V sux:ŋissu[(protective)-shade]N sux:dug₃[to-be-good]V sux:ud[day(light)]N sux:ni₂[self]N sux:dub₂[to-tremble]V
c.2.5.5.2,A praise poem of Lipit-Eštar (Lipit-Eštar B),,12,sux:en[lord]N sux:alim[bison]N sux:mah[to-be-majestic]V sux:An[1]DN sux:ki[place]N sux:aŋ₂[to-measure]V
c.2.5.5.2,A praise poem of Lipit-Eštar (Lipit-Eštar B),,13,sux:ŋiškim-til₃[(source-of)-trust]N sux:ama[mother]N sux:Ninlil[1]DN
c.2.5.5.2,A praise poem of Lipit-Eštar (Lipit-Eštar B),,14,sux:Lipit-Eštar[1]RN sux:a₂[arm]N sux:nun[prince]N sux:ŋal₂[to-be-(located)]V
c.2.5.5.2,A praise poem of Lipit-Eštar (Lipit-Eštar B),,15,sux:ka[mouth]N sux:lal₃[syrup]N sux:dug₃[to-be-good]V sux:mu[name]N sux:ka[mouth]N sux:du₇[to-be-perfect]V
c.2.5.5.2,A praise poem of Lipit-Eštar (Lipit-Eštar B),,16,sux:šag₄[heart]N sux:de₆[to-carry]V sux:dam[spouse]N sux:Inana[1]DN
c.2.5.5.2,A praise poem of Lipit-Eštar (Lipit-Eštar B),,17,sux:Enki[1]DN sux:ŋeštug₂[ear]N sux:daŋal[to-be-wide]V sux:saŋ[head]N sux:rig₇[to-bestow]V
c.2.5.5.2,A praise poem of Lipit-Eštar (Lipit-Eštar B),,18,sux:Nisaba[1]DN sux:munus[woman]N sux:ul[to-swell-(with-joy)]V sux:gun₃[to-be-multicoloured]V
c.2.5.5.2,A praise poem of Lipit-Eštar (Lipit-Eštar B),,19,sux:munus[woman]N sux:zid[right]AJ sux:dub-sar[scribe]N sux:nin[lady]N sux:niŋ₂-nam[anything]PD sux:zu[to-know]V
c.2.5.5.2,A praise poem of Lipit-Eštar (Lipit-Eštar B),,20,sux:si[horn]N sux:im[clay]N sux:si[horn]N sux:sa₂[to-equal]V
c.2.5.5.2,A praise poem of Lipit-Eštar (Lipit-Eštar B),,21,sux:šag₄[heart]N sux:dub[tablet]N sux:gu-šum₂[cuneiform-wedge]N sux:sag₉[to-be-good]V
c.2.5.5.2,A praise poem of Lipit-Eštar (Lipit-Eštar B),,22,sux:gi-dub-ba[stylus]N sux:kug-sig₁₇[gold]N sux:šu[hand]N sux:gun₃[to-be-multicoloured]V
c.2.5.5.2,A praise poem of Lipit-Eštar (Lipit-Eštar B),,23,sux:gi-diš-nindan[measuring-rod]N sux:eš₂-gana₂[measuring-line]N sux:za-gin₃[lapis-lazuli]N
c.2.5.5.2,A praise poem of Lipit-Eštar (Lipit-Eštar B),,24,sux:ŋiš-as₄-lum[measuring-rod]N sux:le-um[(writing)-board]N sux:igi-ŋal₂[wise]AJ sux:šum₂[to-give]V sux:Nisaba[1]DN sux:šu[hand]N sux:daŋal[to-be-wide]V sux:dug₄[to-say]V
c.2.5.5.2,A praise poem of Lipit-Eštar (Lipit-Eštar B),,25,sux:Lipit-Eštar[1]RN sux:dumu[child]N sux:Enlil[1]DN
c.2.5.5.2,A praise poem of Lipit-Eštar (Lipit-Eštar B),,26,sux:niŋ₂-zid[righteousness]N sux:niŋ₂-gen₆-na[constancy]N sux:pa[branch]N sux:e₃[to-go-out-or-in]V
c.2.5.5.2,A praise poem of Lipit-Eštar (Lipit-Eštar B),,27,sux:en[lord]N sux:sag₉[to-be-good]V sux:an-zag[border-of-heaven]N sux:dul[to-cover-(together)]V
c.2.5.5.2,A praise poem of Lipit-Eštar (Lipit-Eštar B),,28,sux:Lipit-Eštar[1]RN sux:lugal[king]N sux:umuš[(fore)thought]N sux:gal[to-be-big]V sux:ad[voice]N sux:gi₄[to-return]V
c.2.5.5.2,A praise poem of Lipit-Eštar (Lipit-Eštar B),,29,sux:inim[word]N sux:kuš₂[to-be-tired]V sux:gal-zu[skilful]AJ sux:ka-aš[decision]N sux:bar[to-set-aside]V sux:uŋ₃[people]N sux:si[horn]N sux:sa₂[to-equal]V
c.2.5.5.2,A praise poem of Lipit-Eštar (Lipit-Eštar B),,30,sux:ŋeštug₂[ear]N sux:daŋal[to-be-wide]V sux:niŋ₂-nam[anything]PD sux:gal[to-be-big]V sux:zu[to-know]V
c.2.5.5.2,A praise poem of Lipit-Eštar (Lipit-Eštar B),,31,sux:di[(law)suit]N sux:kur[(mountain)-land]N sux:si[horn]N sux:sa₂[to-equal]V
c.2.5.5.2,A praise poem of Lipit-Eštar (Lipit-Eštar B),,32,sux:inim[word]N sux:šag₄[heart]N sux:ŋal₂[to-be-(located)]V sux:lul[to-be-false]V sux:zid[right]AJ sux:zu[to-know]V
c.2.5.5.2,A praise poem of Lipit-Eštar (Lipit-Eštar B),,33,sux:Lipit-Eštar[1]RN sux:lu₂-erim₂[enemy]N sux:guru₅[to-cut-down]V sux:e₃[to-go-out-or-in]V
c.2.5.5.2,A praise poem of Lipit-Eštar (Lipit-Eštar B),,34,sux:ka[mouth]N sux:šer₇-da[crime]N sux:ŋiri₃[foot]N sux:saga₁₁[to-press]V sux:dug₄[to-say]V sux:lu₂[person]N sux:zig₃[to-rise]V sux:zu[to-know]V
c.2.5.5.2,A praise poem of Lipit-Eštar (Lipit-Eštar B),,35,sux:nam-tag[sin]N sux:dugud[to-be-heavy]V sux:ka[mouth]N sux:garaš₂[destruction]N sux:lu₂[person]N sux:til[to-complete]V sux:zu[to-know]V
c.2.5.5.2,A praise poem of Lipit-Eštar (Lipit-Eštar B),,36,sux:a₂-tuku[powerful]AJ sux:sa[sinew]N sux:gaz[to-strike-(dead)]V sux:ak[to-do]V
c.2.5.5.2,A praise poem of Lipit-Eštar (Lipit-Eštar B),,37,sux:kalag[to-be-strong]V sux:sig[to-be-low]V sux:še₂₉[to-be-oppressed]V sux:ak[to-do]V
c.2.5.5.2,A praise poem of Lipit-Eštar (Lipit-Eštar B),,38,sux:niŋ₂-si-sa₂[justice]N sux:Sumer[1]GN sux:Akkad[1]GN sux:ŋar[to-place]V
c.2.5.5.2,A praise poem of Lipit-Eštar (Lipit-Eštar B),,39,sux:su[flesh]N sux:kalam[the-Land]N sux:dug₃[to-be-good]V
c.2.5.5.2,A praise poem of Lipit-Eštar (Lipit-Eštar B),,40,sux:Lipit-Eštar[1]RN sux:lugal[king]N sux:Isin[1]SN sux:lugal[king]N sux:Sumer[1]GN sux:Akkad[1]GN
c.2.5.5.2,A praise poem of Lipit-Eštar (Lipit-Eštar B),,41,sux:Nibru[1]SN sux:dub[tablet]N sux:sar[to-write]V
c.2.5.5.2,A praise poem of Lipit-Eštar (Lipit-Eštar B),,42,sux:E-kur[1]TN sux:e₂[house(hold)]N sux:Enlil[1]DN sux:Lipit-Eštar[1]RN sux:saŋ[head]N sux:us₂[to-be-adjacent]V sux:za[you-(sg.)]PD
c.2.5.5.2,A praise poem of Lipit-Eštar (Lipit-Eštar B),,43,sux:Enlil[1]DN sux:Ninlil[1]DN sux:ki[place]N sux:aŋ₂[to-measure]V sux:šag₄[heart]N
c.2.5.5.2,A praise poem of Lipit-Eštar (Lipit-Eštar B),,44,sux:ur-saŋ[hero]N sux:Ninurta[1]DN sux:maškim[judicial-officer]N sux:kalag[to-be-strong]V
c.2.5.5.2,A praise poem of Lipit-Eštar (Lipit-Eštar B),,45,sux:Nuska[1]DN sux:sukkal-mah[chief-minister]N sux:a₂-tah[helper]N sux:inim[word]N
c.2.5.5.2,A praise poem of Lipit-Eštar (Lipit-Eštar B),,46,sux:išib[type-of-priest]N sux:Keš[1]SN sux:Nintur[1]DN sux:zid[right]AJ sux:pad₃[to-find]V
c.2.5.5.2,A praise poem of Lipit-Eštar (Lipit-Eštar B),,47,sux:Urim[1]SN sux:ŋal₂[to-be-(located)]V sux:šul[young-man]N sux:ŋiš[tree]N sux:tuku[to-have]V sux:Suen[1]DN
c.2.5.5.2,A praise poem of Lipit-Eštar (Lipit-Eštar B),,48,sux:Enki[1]DN sux:Eridug[1]SN sux:aga[crown]N sux:zid[right]AJ sux:šum₂[to-give]V
c.2.5.5.2,A praise poem of Lipit-Eštar (Lipit-Eštar B),,49,sux:ki[place]N sux:Unug[1]SN sux:kug[shining]AJ sux:Inana[1]DN sux:Lipit-Eštar[1]RN sux:hi-li[attractiveness]N sux:šag₄[heart]N
c.2.5.5.2,A praise poem of Lipit-Eštar (Lipit-Eštar B),,50,sux:Ninisina[1]DN sux:Isin[1]SN sux:barag[dais]N sux:mah[to-be-majestic]V sux:ri[to-direct]V
c.2.5.5.2,A praise poem of Lipit-Eštar (Lipit-Eštar B),,51,sux:i-lu[(sad)-song]N sux:šag₄[heart]N sux:mu[year]N sux:bal[term-(in-office)]N sux:sag₉[to-be-good]V
c.2.5.5.2,A praise poem of Lipit-Eštar (Lipit-Eštar B),,52,sux:nun[prince]N sux:nun[prince]N sux:uru₁₆[to-be-towering]V sux:dirig[to-be-superior]V sux:gal[to-be-big]V sux:mah[to-be-majestic]V
