etcsl_no,text_name,version,l_no,text
c.2.4.1.8,A praise poem of Ur-Namma (Ur-Namma H),,A1,sux:Ur-Namma[1]RN sux:lugal[king]N sux:kalam[the-Land]N
c.2.4.1.8,A praise poem of Ur-Namma (Ur-Namma H),,A2,sux:sud[to-be-distant]V sux:bad[to-open]V
c.2.4.1.8,A praise poem of Ur-Namma (Ur-Namma H),,A3,sux:esi[ebony?]N
c.2.4.1.8,A praise poem of Ur-Namma (Ur-Namma H),,A4,
c.2.4.1.8,A praise poem of Ur-Namma (Ur-Namma H),,B1,
c.2.4.1.8,A praise poem of Ur-Namma (Ur-Namma H),,B2,sux:kug[precious-metal]N sux:za-gin₃[lapis-lazuli]N sux:nam[destiny]N
c.2.4.1.8,A praise poem of Ur-Namma (Ur-Namma H),,B3,sux:kug[precious-metal]N sux:kalam[the-Land]N
c.2.4.1.8,A praise poem of Ur-Namma (Ur-Namma H),,B4,sux:edin[open-country]N
c.2.4.1.8,A praise poem of Ur-Namma (Ur-Namma H),,B5,sux:piriŋ[lion]N sux:ušumgal[type-of-serpent]N sux:igi[eye]N sux:il₂[to-raise]V
c.2.4.1.8,A praise poem of Ur-Namma (Ur-Namma H),,B6,sux:Ur-Namma[1]RN sux:lugal[king]N sux:kalam[the-Land]N sux:sud[to-be-distant]V sux:bad[to-open]V
