etcsl_no,text_name,version,l_no,text
c.2.4.2.12,A tigi (?) for Šulgi (Šulgi L),,A1,
c.2.4.2.12,A tigi (?) for Šulgi (Šulgi L),,A2,sux:me₃[battle]N sux:šen[combat]N
c.2.4.2.12,A tigi (?) for Šulgi (Šulgi L),,A3,sux:a-zu[healer]N sux:šum₂[to-give]V
c.2.4.2.12,A tigi (?) for Šulgi (Šulgi L),,A4,sux:sipad[shepherd]N sux:Šulgi[1]RN sux:ni₂[fear(someness)]N sux:kur[(mountain)-land]N sux:ri[to-direct]V
c.2.4.2.12,A tigi (?) for Šulgi (Šulgi L),,A5,sux:sipad[shepherd]N sux:a-zu[healer]N sux:me-teš₂[praise]N sux:i[to-bring-out]V
c.2.4.2.12,A tigi (?) for Šulgi (Šulgi L),,A6,sux:sa-gid₂-da[composition-division]N
c.2.4.2.12,A tigi (?) for Šulgi (Šulgi L),,A7,sux:ra[to-beat]V sux:aga₃-kar₂[conquering]N sux:sig₁₀[to-place]V
c.2.4.2.12,A tigi (?) for Šulgi (Šulgi L),,A8,sux:sumun[to-be-old]V sux:me[essence]N sux:ŋar[to-place]V sux:ŋar[to-place]V
c.2.4.2.12,A tigi (?) for Šulgi (Šulgi L),,A9,sux:ki-bal[rebel-land]N sux:gu₃-kiri₆[war-cry]N sux:dug₄[to-say]V
c.2.4.2.12,A tigi (?) for Šulgi (Šulgi L),,A10,sux:kur[(mountain)-land]N sux:iši[peak]N sux:sud[to-be-distant]V sux:za-pa-aŋ₂[noise]N
c.2.4.2.12,A tigi (?) for Šulgi (Šulgi L),,A11,sux:šeg₁₁[loud-noise]N sux:gi₄[to-return]V
c.2.4.2.12,A tigi (?) for Šulgi (Šulgi L),,A12,sux:sug-zag[marsh-edge]N sux:gu₇[to-eat]V
c.2.4.2.12,A tigi (?) for Šulgi (Šulgi L),,B1,
c.2.4.2.12,A tigi (?) for Šulgi (Šulgi L),,B2,sux:dug₄[to-say]V
c.2.4.2.12,A tigi (?) for Šulgi (Šulgi L),,B3,sux:us₂[to-be-adjacent]V
c.2.4.2.12,A tigi (?) for Šulgi (Šulgi L),,B4,sux:tir[forest]N sux:izi[fire]N sux:šum₂[to-give]V
c.2.4.2.12,A tigi (?) for Šulgi (Šulgi L),,B5,sux:ni₂-bi[itself;-themselves]PD sux:šu₂[to-cover]V
c.2.4.2.12,A tigi (?) for Šulgi (Šulgi L),,B6,sux:ni₂[fear(someness)]N sux:kur₂[to-be-different]V sux:saŋ[head]N sux:sag₃[to-beat]V
c.2.4.2.12,A tigi (?) for Šulgi (Šulgi L),,B7,sux:sa-ŋar-ra[composition-division]N
