etcsl_no,text_name,version,l_no,text
c.2.3.1,An adab to Bau for Luma (Luma A),,1,sux:dumu[child]N sux:An[1]DN sux:an[heaven]N sux:gal[to-be-big]V sux:ki[place]N sux:gal[to-be-big]V sux:šag₄[heart]N sux:kug[shining]AJ sux:pad₃[to-find]V
c.2.3.1,An adab to Bau for Luma (Luma A),,2,sux:nam-nin[ladyship]N sux:kalam[the-Land]N sux:tum₂[to-be-suitable]V
c.2.3.1,An adab to Bau for Luma (Luma A),,3,sux:Bau[1]DN sux:dumu[child]N sux:An[1]DN sux:an[heaven]N sux:gal[to-be-big]V sux:ki[place]N sux:gal[to-be-big]V
c.2.3.1,An adab to Bau for Luma (Luma A),,4,sux:šag₄[heart]N sux:kug[shining]AJ sux:pad₃[to-find]V
c.2.3.1,An adab to Bau for Luma (Luma A),,5,sux:nam-nin[ladyship]N sux:kalam[the-Land]N sux:tum₂[to-be-suitable]V
c.2.3.1,An adab to Bau for Luma (Luma A),,6,sux:Enlil[1]DN sux:E-kur[1]TN sux:za-gin₃[lapis-lazuli]N
c.2.3.1,An adab to Bau for Luma (Luma A),,7,sux:ki-sikil[young-woman]N sux:ama[mother]N sux:Bau[1]DN sux:igi[eye]N sux:zid[right]AJ sux:bar[to-set-aside]V
c.2.3.1,An adab to Bau for Luma (Luma A),,8,sux:en[lord]N sux:Ninŋirsu[1]DN sux:gal[to-be-big]V sux:du₇[to-be-perfect]V
c.2.3.1,An adab to Bau for Luma (Luma A),,9,sux:kur[(mountain)-land]N sux:gal[to-be-big]V sux:Enlil[1]DN sux:E-kur[1]TN sux:za-gin₃[lapis-lazuli]N
c.2.3.1,An adab to Bau for Luma (Luma A),,10,sux:ki-sikil[young-woman]N sux:ama[mother]N sux:Bau[1]DN sux:igi[eye]N sux:zid[right]AJ sux:bar[to-set-aside]V
c.2.3.1,An adab to Bau for Luma (Luma A),,11,sux:en[lord]N sux:Ninŋirsu[1]DN sux:gal[to-be-big]V sux:du₇[to-be-perfect]V
c.2.3.1,An adab to Bau for Luma (Luma A),,12,sux:E-tar-sirsir[1]TN sux:An[1]DN sux:ŋar[to-place]V
c.2.3.1,An adab to Bau for Luma (Luma A),,13,sux:nam[destiny]N sux:kur[(mountain)-land]N sux:tar[to-cut]V
c.2.3.1,An adab to Bau for Luma (Luma A),,14,sux:nin[lady]N sux:ka-aš[decision]N sux:bar[to-set-aside]V sux:di[(law)suit]N sux:kud[to-cut]V
c.2.3.1,An adab to Bau for Luma (Luma A),,15,sux:Bau[1]DN sux:E-tar-sirsir[1]TN sux:an[heaven]N sux:ŋar[to-place]V
c.2.3.1,An adab to Bau for Luma (Luma A),,16,sux:nam[destiny]N sux:kur[(mountain)-land]N sux:tar[to-cut]V
