etcsl_no,text_name,version,l_no,text
c.2.6.2.a,A hymn to Nanna for Gungunum (Gungunum B),,A1,
c.2.6.2.a,A hymn to Nanna for Gungunum (Gungunum B),,A2,sux:me[to-be]V
c.2.6.2.a,A hymn to Nanna for Gungunum (Gungunum B),,A3,sux:gub[to-stand]V
c.2.6.2.a,A hymn to Nanna for Gungunum (Gungunum B),,A4,sux:e₃[to-go-out-or-in]V
c.2.6.2.a,A hymn to Nanna for Gungunum (Gungunum B),,A5,sux:ŋen[to-go]V
c.2.6.2.a,A hymn to Nanna for Gungunum (Gungunum B),,B1,
c.2.6.2.a,A hymn to Nanna for Gungunum (Gungunum B),,B2,sux:an-šar₂[entirety-of-heaven]N sux:ki-šar₂[totality]N
c.2.6.2.a,A hymn to Nanna for Gungunum (Gungunum B),,B3,sux:Ašimbabbar[1]DN sux:gal[to-be-big]V
c.2.6.2.a,A hymn to Nanna for Gungunum (Gungunum B),,B4,sux:nir-ŋal₂[authoritative]AJ sux:ušum[type-of-snake]N sux:dili[single]AJ sux:diŋir[deity]N sux:pa[branch]N sux:e₃[to-go-out-or-in]V
c.2.6.2.a,A hymn to Nanna for Gungunum (Gungunum B),,B5,sux:gu₂[neck]N sux:mar[to-flourish]V sux:en[lord]N sux:itid[moon(light)]N
c.2.6.2.a,A hymn to Nanna for Gungunum (Gungunum B),,B6,sux:Gungunum[1]RN sux:šul[young-man]N sux:za[you-(sg.)]PD sux:ŋal₂[to-be-(located)]V
c.2.6.2.a,A hymn to Nanna for Gungunum (Gungunum B),,B7,sux:en[lord]N sux:u₃-sumun₂[wild-cow?]N sux:zid[right]AJ sux:dumu-saŋ[first-born-(child)]N sux:Enlil[1]DN
c.2.6.2.a,A hymn to Nanna for Gungunum (Gungunum B),,B8,sux:šul[young-man]N sux:Suen[1]DN sux:šudu₃[prayer]N sux:ŋiš[tree]N sux:tuku[to-have]V
c.2.6.2.a,A hymn to Nanna for Gungunum (Gungunum B),,B9,sux:nun[prince]N sux:Gungunum[1]RN sux:bal[term-(in-office)]N sux:sud[to-be-distant]V
c.2.6.2.a,A hymn to Nanna for Gungunum (Gungunum B),,B10,sux:lugal[king]N sux:an[heaven]N sux:gub[to-stand]V sux:hi-li[attractiveness]N
c.2.6.2.a,A hymn to Nanna for Gungunum (Gungunum B),,B11,sux:šul[young-man]N sux:Suen[1]DN sux:an[heaven]N sux:gub[to-stand]V sux:hi-li[attractiveness]N
c.2.6.2.a,A hymn to Nanna for Gungunum (Gungunum B),,B12,sux:dumu[child]N sux:ka[mouth]N sux:silim[to-be-healthy]V sux:Nunamnir[1]DN
c.2.6.2.a,A hymn to Nanna for Gungunum (Gungunum B),,C1,sux:šu-luh[ritual-cleansing]N sux:kug[shining]AJ sux:ŋarza[rite]N
c.2.6.2.a,A hymn to Nanna for Gungunum (Gungunum B),,C2,sux:ud-sakar[crescent-(moon)]N sux:itid[moon(light)]N sux:gen₆[to-be-firm]V
c.2.6.2.a,A hymn to Nanna for Gungunum (Gungunum B),,C3,sux:Suen[1]DN sux:sud-aŋ₂[brilliance]N
c.2.6.2.a,A hymn to Nanna for Gungunum (Gungunum B),,C4,sux:an[heaven]N sux:sikil[to-be-pure]V sux:hi-li[attractiveness]N
c.2.6.2.a,A hymn to Nanna for Gungunum (Gungunum B),,C5,sux:kalam[the-Land]N
c.2.6.2.a,A hymn to Nanna for Gungunum (Gungunum B),,C6,
c.2.6.2.a,A hymn to Nanna for Gungunum (Gungunum B),,D1,
c.2.6.2.a,A hymn to Nanna for Gungunum (Gungunum B),,D2,
c.2.6.2.a,A hymn to Nanna for Gungunum (Gungunum B),,D3,
c.2.6.2.a,A hymn to Nanna for Gungunum (Gungunum B),,D6,
c.2.6.2.a,A hymn to Nanna for Gungunum (Gungunum B),,D7,
