etcsl_no,text_name,version,l_no,text
c.2.4.1.a,A praise poem of Ur-Namma (Ur-Namma I),,A1,sux:diŋir[deity]N
c.2.4.1.a,A praise poem of Ur-Namma (Ur-Namma I),,A2,sux:inim[word]N sux:kur₂[to-be-different]V sux:dirig[to-be-superior]V
c.2.4.1.a,A praise poem of Ur-Namma (Ur-Namma I),,A3,sux:inim[word]N sux:šag₄[heart]N sux:sa₂[to-equal]V sux:dug₄[to-say]V
c.2.4.1.a,A praise poem of Ur-Namma (Ur-Namma I),,A4,sux:nam-mah[majesty]N sux:Sumer[1]GN
c.2.4.1.a,A praise poem of Ur-Namma (Ur-Namma I),,A5,sux:Utu[1]DN sux:lugal[king]N sux:igi[eye]N sux:ŋen[to-go]V
c.2.4.1.a,A praise poem of Ur-Namma (Ur-Namma I),,A6,sux:e₂[house(hold)]N sux:nun[prince]N sux:ki[place]N
c.2.4.1.a,A praise poem of Ur-Namma (Ur-Namma I),,B1,
c.2.4.1.a,A praise poem of Ur-Namma (Ur-Namma I),,B2,sux:abula[(city)-gate]N sux:u₆[wonder]N
c.2.4.1.a,A praise poem of Ur-Namma (Ur-Namma I),,B3,sux:lugal[king]N sux:meš₃[type-of-tree]N sux:babbar[white]AJ sux:Urim[1]SN sux:ki[place]N sux:dug₃[to-be-good]V sux:mu₂[to-grow]V
c.2.4.1.a,A praise poem of Ur-Namma (Ur-Namma I),,B4,sux:ŋiš-an-dul₃[shady-tree]N sux:pa[branch]N sux:gal[to-be-big]V sux:igi[eye]N sux:an[heaven]N sux:gub[to-stand]V
c.2.4.1.a,A praise poem of Ur-Namma (Ur-Namma I),,B5,sux:ŋissu[(protective)-shade]N sux:ri[to-direct]V sux:mu[year]N sux:he₂-ŋal₂[plenty]N sux:kur[(mountain)-land]N sux:dul[to-cover-(together)]V
c.2.4.1.a,A praise poem of Ur-Namma (Ur-Namma I),,B6,sux:An[1]DN sux:igi[eye]N sux:sag₉[to-be-good]V sux:bar[outside]N sux:hul₂[to-be-happy]V
c.2.4.1.a,A praise poem of Ur-Namma (Ur-Namma I),,B7,sux:Ur-Namma[1]RN sux:dumu[child]N sux:Ninsumun[1]DN
c.2.4.1.a,A praise poem of Ur-Namma (Ur-Namma I),,B8,sux:lugal[king]N sux:Enlil[1]DN sux:a₂[arm]N sux:šum₂[to-give]V
c.2.4.1.a,A praise poem of Ur-Namma (Ur-Namma I),,B9,sux:Ninlil[1]DN sux:mi₂[(loving)-care]N sux:zid[right]AJ sux:dug₄[to-say]V
c.2.4.1.a,A praise poem of Ur-Namma (Ur-Namma I),,B10,sux:Ninhursaŋa[1]DN sux:inim[word]N sux:šag₄[heart]N sux:huŋ[to-hire]V
c.2.4.1.a,A praise poem of Ur-Namma (Ur-Namma I),,B11,sux:Enki[1]DN sux:ŋeštug₂[ear]N sux:mah[to-be-majestic]V sux:šum₂[to-give]V
c.2.4.1.a,A praise poem of Ur-Namma (Ur-Namma I),,B12,sux:Nin-X[1]DN
c.2.4.1.a,A praise poem of Ur-Namma (Ur-Namma I),,C1,sux:ama[mother]N sux:tud[to-give-birth]V sux:Ninsumun[1]DN sux:E-kiš-nu-ŋal[1]TN sux:gaba[chest]N sux:tab[to-be-parallel]V
