etcsl_no,text_name,version,l_no,text
c.1.8.2.1,Lugalbanda in the mountain cave,,A1,sux:ud[day(light)]N sux:ul[distant-time]N sux:an[heaven]N sux:ki[place]N sux:bad[to-open]V
c.1.8.2.1,Lugalbanda in the mountain cave,,A2,sux:ul[distant-time]N sux:suh₁₀[crown]N sux:keše₂[to-bind]V
c.1.8.2.1,Lugalbanda in the mountain cave,,A3,sux:ul[distant-time]N sux:buru₁₄[harvest-(time)]N sux:ul[distant-time]N sux:še[barley]N
c.1.8.2.1,Lugalbanda in the mountain cave,,A4,sux:in[zone]N sux:dub[to-heap-up]V sux:ki[place]N sux:sur[to-drip]V
c.1.8.2.1,Lugalbanda in the mountain cave,,A5,sux:na₄[stone]N sux:du₃[to-erect]V sux:mu[name]N sux:sar[to-write]V
c.1.8.2.1,Lugalbanda in the mountain cave,,A6,sux:eg₂[embankment]N sux:pa₅[canal]N sux:šu-luh[ritual-cleansing]N sux:ak[to-do]V
c.1.8.2.1,Lugalbanda in the mountain cave,,A7,sux:pu₂[(water)-hole]N sux:si[horn]N sux:sa₂[to-equal]V
c.1.8.2.1,Lugalbanda in the mountain cave,,A8,sux:Euphrates[1]WN sux:id₂[watercourse]N sux:he₂-ŋal₂[plenty]N sux:Unug[1]SN sux:ki[place]N sux:dar[to-split]V
c.1.8.2.1,Lugalbanda in the mountain cave,,A9,sux:du₃[to-erect]V
c.1.8.2.1,Lugalbanda in the mountain cave,,A10,sux:ha-la[share]N sux:ŋar[to-place]V
c.1.8.2.1,Lugalbanda in the mountain cave,,A11,sux:An[1]DN sux:kug[shining]AJ sux:ze₂-er[to-tear-out]V
c.1.8.2.1,Lugalbanda in the mountain cave,,A12,sux:nam-en[high-(priestly)-office]N sux:nam-lugal[kingship]N sux:Unug[1]SN sux:pa[branch]N sux:e₃[to-go-out-or-in]V sux:ak[to-do]V
c.1.8.2.1,Lugalbanda in the mountain cave,,A13,sux:šibir[shepherd's-crook]N sux:ešgiri₂[staff]N sux:Kulaba[1]SN sux:me₃[battle]N sux:saŋ[head]N sux:il₂[to-raise]V
c.1.8.2.1,Lugalbanda in the mountain cave,,A14,sux:me₃[battle]N sux:ešemen[skip-rope-(game)]N sux:Inana[1]DN
c.1.8.2.1,Lugalbanda in the mountain cave,,A15,sux:saŋ[head]N sux:gig₂[to-be-black]V sux:zi[life-(breath)]N sux:sud[to-be-distant]V sux:dug₃[to-be-good]V
c.1.8.2.1,Lugalbanda in the mountain cave,,A16,sux:in-di₃[way]N sux:zag-eš-zag-eš[meaning-unknown]N
c.1.8.2.1,Lugalbanda in the mountain cave,,A17,sux:maš₂[(kid)-goat]N sux:kur[(mountain)-land]N sux:umbin[horny-outgrowth]N sux:kiŋ₂[to-seek]V
c.1.8.2.1,Lugalbanda in the mountain cave,,A18,sux:tarah[wild-goat]N sux:kur[(mountain)-land]N sux:aškud₂[type-of-physical-extremity]N sux:sag₉[to-be-good]V
