etcsl_no,text_name,version,l_no,text
c.4.32.e,A šir-namšub to Utu (Utu E),,36,sux:gu₇[to-eat]V sux:a-šag₄[field]N sux:še[barley]N sux:gu-nu[flax]N sux-x-emesal:ma-al[to-be-(located)]V
c.4.32.e,A šir-namšub to Utu (Utu E),,37,sux-x-emesal:mu-lu[person]N sux:zid[right]AJ sux:de₆[to-carry]V sux:tuku[to-have]V
c.4.32.e,A šir-namšub to Utu (Utu E),,38,sux:zid₂[flour]N sux-x-emesal:mu-lu[person]N sux:zid[right]AJ sux:de₆[to-carry]V sux:tuku[to-have]V
c.4.32.e,A šir-namšub to Utu (Utu E),,39,sux:šu[hand]N sux:giri₁₇[nose]N sux-x-emesal:ma-al[to-be-(located)]V
c.4.32.e,A šir-namšub to Utu (Utu E),,40,sux:gu₇[to-eat]V sux:dug₄[to-say]V sux:naŋ[to-drink]V sux:dug₄[to-say]V
c.4.32.e,A šir-namšub to Utu (Utu E),,41,sux:ki-ru-gu₂[composition-division]N sux:3-kam-ma[3rd]NU
c.4.32.e,A šir-namšub to Utu (Utu E),,42,sux:kaš[beer]N sux:bur-ra-gi₄-a[type-of-offering]N sux:šag₄[heart]N sux:gu₂[neck]N sux:gi₄[to-return]V
c.4.32.e,A šir-namšub to Utu (Utu E),,43,sux:nesaŋ[(first-fruit)-offering]N sux:e₂[house(hold)]N sux:kaš[beer]N sux:bur-ra-gi₄-a[type-of-offering]N
c.4.32.e,A šir-namšub to Utu (Utu E),,44,sux:bur[type-of-bowl]N sux:gal[to-be-big]V sux:an[heaven]N sux:gub[to-stand]V
c.4.32.e,A šir-namšub to Utu (Utu E),,45,sux:ninda[bread]N sux:šu[hand]N sux:sikil[to-be-pure]V sux-x-emesal:ze₂-eŋ₃[to-give]V
c.4.32.e,A šir-namšub to Utu (Utu E),,46,sux:e₂[house(hold)]N sux-x-emesal:mu-lu[person]N sux:zid[right]AJ sux:šu[hand]N sux:e₃-ba[verb-part-of-multiword-verb]V
c.4.32.e,A šir-namšub to Utu (Utu E),,47,sux-x-emesal:mu-lu[person]N sux:zid[right]AJ sux:šu[hand]N sux:e₃-ba[verb-part-of-multiword-verb]V
c.4.32.e,A šir-namšub to Utu (Utu E),,48,sux-x-emesal:dim₃-me-er[deity]N sux-x-emesal:mu-lu[person]N sux:šu[hand]N sux:e₃-ba[verb-part-of-multiword-verb]V
