etcsl_no,text_name,version,l_no,text
c.2.4.1.1,The death of Ur-Namma (Ur-Namma A),Nibru,1,sux:kalam[the-Land]N sux:teš₂[unity]N
c.2.4.1.1,The death of Ur-Namma (Ur-Namma A),Nibru,2,sux:sag₃[to-beat]V sux:e₂-gal[palace]N sux:sig₁₀[to-place]V
c.2.4.1.1,The death of Ur-Namma (Ur-Namma A),Nibru,3,sux:saŋ[head]N sux:gig₂[to-be-black]V sux:tuš[to-sit]V sux:ni₂[fear(someness)]N sux:ul₄[to-hasten]V sux:te[to-approach]V
c.2.4.1.1,The death of Ur-Namma (Ur-Namma A),Nibru,4,sux:ki-šub-ba[waste-ground]N sux:Sumer[1]GN sux:ŋar[to-place]V
c.2.4.1.1,The death of Ur-Namma (Ur-Namma A),Nibru,5,sux:niŋ₂-daŋal[vastness]N sux:iri[town]N sux:gul[to-destroy]V sux:uŋ₃[people]N sux:ni₂[fear(someness)]N sux:te[to-approach]V
c.2.4.1.1,The death of Ur-Namma (Ur-Namma A),Nibru,6,sux:Urim[1]SN sux:hul-ŋal₂[evil]AJ sux:DU[DU]V sux:sipad[shepherd]N sux:zid[right]AJ sux:e₃[to-go-out-or-in]V
c.2.4.1.1,The death of Ur-Namma (Ur-Namma A),Nibru,7,sux:sipad[shepherd]N sux:zid[right]AJ sux:Ur-Namma[1]RN sux:e₃[to-go-out-or-in]V sux:sipad[shepherd]N sux:zid[right]AJ sux:e₃[to-go-out-or-in]V
c.2.4.1.1,The death of Ur-Namma (Ur-Namma A),Nibru,8,sux:An[1]DN sux:inim[word]N sux:kug[shining]AJ sux:du₃[to-erect]V sux:kur₂[to-be-different]V sux:šag₄[heart]N sux:sug₄[to-be-empty]V
c.2.4.1.1,The death of Ur-Namma (Ur-Namma A),Nibru,9,sux:Enlil[1]DN sux:nam[destiny]N sux:tar[to-cut]V sux:du₃[to-erect]V sux:šu[hand]N sux:lul[to-be-false]V sux:bal[to-turn-over]V
c.2.4.1.1,The death of Ur-Namma (Ur-Namma A),Nibru,10,sux:Ninmah[1]DN sux:LA₂.A.BA[meaning-unknown]N sux:a-nir[lament]N sux:ŋar[to-place]V
c.2.4.1.1,The death of Ur-Namma (Ur-Namma A),Nibru,11,sux:Enki[1]DN sux:ig[door]N sux:gal[to-be-big]V sux:Eridug[1]SN sux:gu₂[neck]N sux:gi₄[to-return]V
c.2.4.1.1,The death of Ur-Namma (Ur-Namma A),Nibru,12,sux:Nudimmud[1]DN sux:itima[(sleeping)-chamber]N sux:kur₉[to-enter]V sux:šag₄-ka-tab[fasting]N sux:nu₂[to-lie-down]V
c.2.4.1.1,The death of Ur-Namma (Ur-Namma A),Nibru,13,sux:inim[word]N sux:An[1]DN sux:Nanna[1]DN sux:si-un₃-na[zenith]N sux:saŋ-ki[forehead]N sux:gid₂[to-be-long]V
c.2.4.1.1,The death of Ur-Namma (Ur-Namma A),Nibru,14,sux:Utu[1]DN sux:an[heaven]N sux:e₃[to-go-out-or-in]V sux:ud[day(light)]N sux:i-si-iš[tears-(of-joy)]N sux:la₂[to-hang]V
c.2.4.1.1,The death of Ur-Namma (Ur-Namma A),Nibru,15,sux:ama[mother]N sux:dumu[child]N sux:hul[to-be-bad]V sux:til₃[to-live]V
c.2.4.1.1,The death of Ur-Namma (Ur-Namma A),Nibru,16,sux:ama[mother]N sux:lugal[king]N sux:kug[shining]AJ sux:Ninsumun[1]DN sux:a[soothing-expression]I sux:šag₄[heart]N sux:dug₄[to-say]V
c.2.4.1.1,The death of Ur-Namma (Ur-Namma A),Nibru,17,sux:nam[destiny]N sux:Ur-Namma[1]RN sux:tar[to-cut]V
c.2.4.1.1,The death of Ur-Namma (Ur-Namma A),Nibru,18,sux:mu[name]N sux:sipad[shepherd]N sux:zid[right]AJ sux:e₃[to-go-out-or-in]V
c.2.4.1.1,The death of Ur-Namma (Ur-Namma A),Nibru,19,sux:sila[street]N sux:daŋal[to-be-wide]V sux:ki-e-ne-di[play-area]N sux:ŋal₂[to-be-(located)]V sux:er₂[tear]N sux:gig[to-be-ill]V sux:šeš₂[to-weep]V
c.2.4.1.1,The death of Ur-Namma (Ur-Namma A),Nibru,20,sux:nam-lu₂-ulu₃[humanity]N sux:li[to-be-joyful]V sux:u₃[sleep]N sux:dug₃[to-be-good]V sux:ku[to-lay-down]V
c.2.4.1.1,The death of Ur-Namma (Ur-Namma A),Nibru,21,sux:i-lu[(sad)-song]N sux:sipad[shepherd]N sux:zid[right]AJ sux:dab₅[to-seize]V sux:ud[day(light)]N sux:zal[to-pass]V
