id_text,text_name,version,l_no,text
dcclt/Q000043,OB Nippur Ura 06,SLT 012 [OB Nippur Ura],,o ii 18,sux:ulušin[beer]N
dcclt/Q000043,OB Nippur Ura 06,SLT 012 [OB Nippur Ura],,o ii 19,sux:ulušin[beer]N
dcclt/Q000043,OB Nippur Ura 06,SLT 012 [OB Nippur Ura],,o ii 20,sux:kaš[beer]N
dcclt/Q000043,OB Nippur Ura 06,SLT 012 [OB Nippur Ura],,o ii 21,sux:kaš[beer]N
dcclt/Q000043,OB Nippur Ura 06,SLT 012 [OB Nippur Ura],,o iii 1,sux:kaš[beer]N sux:burgia[offering]N
dcclt/Q000043,OB Nippur Ura 06,SLT 012 [OB Nippur Ura],,o iii 2,sux:kaš[beer]N sux:bursaŋ[building]N
dcclt/Q000043,OB Nippur Ura 06,SLT 012 [OB Nippur Ura],,o iii 3,sux:kaš[beer]N sux:lukurunak[brewer]N
dcclt/Q000043,OB Nippur Ura 06,SLT 012 [OB Nippur Ura],,o iii 4,sux:kaš[beer]N sux:nakamtum[storehouse]N
dcclt/Q000043,OB Nippur Ura 06,SLT 012 [OB Nippur Ura],,o iii 5,sux:kaš[beer]N sux:edadi[flour]N
dcclt/Q000043,OB Nippur Ura 06,SLT 012 [OB Nippur Ura],,o iii 6,sux:kaš[beer]N sux:a[water]N sux:gi[turn]V/i
dcclt/Q000043,OB Nippur Ura 06,SLT 012 [OB Nippur Ura],,o iii 7,sux:kaš[beer]N sux:a[water]N sux:di[speak]V/t
dcclt/Q000043,OB Nippur Ura 06,SLT 012 [OB Nippur Ura],,o iii 8,sux:sahin[yeast]N
dcclt/Q000043,OB Nippur Ura 06,SLT 012 [OB Nippur Ura],,o iii 9,sux:aŋarin[matrix]N
dcclt/Q000043,OB Nippur Ura 06,SLT 012 [OB Nippur Ura],,o iii 10,sux:bappir[~beer]N
dcclt/Q000043,OB Nippur Ura 06,SLT 012 [OB Nippur Ura],,o iii 11,sux:bappir[~beer]N
dcclt/Q000043,OB Nippur Ura 06,SLT 012 [OB Nippur Ura],,o iii 12,sux:bappir[~beer]N sux:duru[wet]V/i
dcclt/Q000043,OB Nippur Ura 06,SLT 012 [OB Nippur Ura],,o iii 13,sux:bappir[~beer]N sux:sag[rare]V/i
dcclt/Q000043,OB Nippur Ura 06,SLT 012 [OB Nippur Ura],,o iii 14,sux:bappir[~beer]N sux:ŋen[go]V/i
dcclt/Q000043,OB Nippur Ura 06,SLT 012 [OB Nippur Ura],,o iii 15,sux:bappir[~beer]N sux:ah[dry]V/i
dcclt/Q000043,OB Nippur Ura 06,SLT 012 [OB Nippur Ura],,o iii 16,sux:bappir[~beer]N sux:ud[sun]N sux:tab[double]V/t
dcclt/Q000043,OB Nippur Ura 06,SLT 012 [OB Nippur Ura],,o iii 17,sux:bappir[~beer]N sux:sumun[vessel]N
dcclt/Q000043,OB Nippur Ura 06,SLT 012 [OB Nippur Ura],,o iii 18,sux:sumun[vessel]N sux:sur[press]V/t
dcclt/Q000043,OB Nippur Ura 06,SLT 012 [OB Nippur Ura],,o iii 19,sux:titab[~beer]N
dcclt/Q000043,OB Nippur Ura 06,SLT 012 [OB Nippur Ura],,o iv 1,sux:duh[bran]N sux:duru[wet]V/i
dcclt/Q000043,OB Nippur Ura 06,SLT 012 [OB Nippur Ura],,o iv 2,sux:duh[bran]N sux:sag[rare]V/i
dcclt/Q000043,OB Nippur Ura 06,SLT 012 [OB Nippur Ura],,o iv 3,sux:duh[bran]N sux:ŋen[go]V/i
dcclt/Q000043,OB Nippur Ura 06,SLT 012 [OB Nippur Ura],,o iv 4,sux:duh[bran]N sux:ah[dry]V/i
dcclt/Q000043,OB Nippur Ura 06,SLT 012 [OB Nippur Ura],,o iv 5,sux:duh[bran]N sux:ud[sun]N sux:tab[double]V/t
dcclt/Q000043,OB Nippur Ura 06,SLT 012 [OB Nippur Ura],,o iv 6,sux:duh[bran]N sux:hahala[comestible]N
dcclt/Q000043,OB Nippur Ura 06,SLT 012 [OB Nippur Ura],,o iv 7,sux:duh[bran]N sux:hahala[comestible]N
dcclt/Q000043,OB Nippur Ura 06,SLT 012 [OB Nippur Ura],,o iv 8,sux:duh[bran]N sux:kurun[beer]N
dcclt/Q000043,OB Nippur Ura 06,SLT 012 [OB Nippur Ura],,o iv 9,sux:zidgu[flour]N
dcclt/Q000043,OB Nippur Ura 06,SLT 012 [OB Nippur Ura],,o iv 10,sux:zid[flour]N sux:gunida[~grain]N
dcclt/Q000043,OB Nippur Ura 06,SLT 012 [OB Nippur Ura],,o iv 11,sux:zidsig[flour]N
dcclt/Q000043,OB Nippur Ura 06,SLT 012 [OB Nippur Ura],,o iv 12,sux:zidgu[flour]N
dcclt/Q000043,OB Nippur Ura 06,SLT 012 [OB Nippur Ura],,o iv 13,sux:zidgu[flour]N sux:sag[rare]V/i
dcclt/Q000043,OB Nippur Ura 06,SLT 012 [OB Nippur Ura],,o iv 14,sux:zidgu[flour]N sux:ŋen[go]V/i
dcclt/Q000043,OB Nippur Ura 06,SLT 012 [OB Nippur Ura],,o iv 15,sux:zidgu[flour]N
