id_text,text_name,l_no,text
aemw/amarna/P270932,EA 227. The happy king of Hazor [vassal letter],001,
aemw/amarna/P270932,EA 227. The happy king of Hazor [vassal letter],002,
aemw/amarna/P270932,EA 227. The happy king of Hazor [vassal letter],003,Haṣura[Hazor]GN
aemw/amarna/P270932,EA 227. The happy king of Hazor [vassal letter],004,
aemw/amarna/P270932,EA 227. The happy king of Hazor [vassal letter],005,
aemw/amarna/P270932,EA 227. The happy king of Hazor [vassal letter],006,
aemw/amarna/P270932,EA 227. The happy king of Hazor [vassal letter],007,
aemw/amarna/P270932,EA 227. The happy king of Hazor [vassal letter],008,
aemw/amarna/P270932,EA 227. The happy king of Hazor [vassal letter],009,Šamaš[1]DN
aemw/amarna/P270932,EA 227. The happy king of Hazor [vassal letter],010,
aemw/amarna/P270932,EA 227. The happy king of Hazor [vassal letter],011,
aemw/amarna/P270932,EA 227. The happy king of Hazor [vassal letter],012,
aemw/amarna/P270932,EA 227. The happy king of Hazor [vassal letter],013,
aemw/amarna/P270932,EA 227. The happy king of Hazor [vassal letter],014,
aemw/amarna/P270932,EA 227. The happy king of Hazor [vassal letter],015,
aemw/amarna/P270932,EA 227. The happy king of Hazor [vassal letter],016,Hanʾi[1]PN
aemw/amarna/P270932,EA 227. The happy king of Hazor [vassal letter],017,
aemw/amarna/P270932,EA 227. The happy king of Hazor [vassal letter],018,
aemw/amarna/P270932,EA 227. The happy king of Hazor [vassal letter],019,
aemw/amarna/P270932,EA 227. The happy king of Hazor [vassal letter],020,
aemw/amarna/P270932,EA 227. The happy king of Hazor [vassal letter],021,Haṣura[Hazor]GN
aemw/amarna/P270932,EA 227. The happy king of Hazor [vassal letter],022,
aemw/amarna/P270932,EA 227. The happy king of Hazor [vassal letter],023,
aemw/amarna/P270932,EA 227. The happy king of Hazor [vassal letter],024,
aemw/amarna/P270932,EA 227. The happy king of Hazor [vassal letter],025,
aemw/amarna/P270932,EA 227. The happy king of Hazor [vassal letter],026,
aemw/amarna/P270932,EA 227. The happy king of Hazor [vassal letter],027,
