id_text,text_name,l_no,text
aemw/amarna/P271216,EA 157. Eager to serve [vassal letter],001,Šamaš[1]DN
aemw/amarna/P271216,EA 157. Eager to serve [vassal letter],002,
aemw/amarna/P271216,EA 157. Eager to serve [vassal letter],003,Aziru[1]PN
aemw/amarna/P271216,EA 157. Eager to serve [vassal letter],004,
aemw/amarna/P271216,EA 157. Eager to serve [vassal letter],005,Šamaš[1]DN
aemw/amarna/P271216,EA 157. Eager to serve [vassal letter],006,
aemw/amarna/P271216,EA 157. Eager to serve [vassal letter],007,
aemw/amarna/P271216,EA 157. Eager to serve [vassal letter],008,
aemw/amarna/P271216,EA 157. Eager to serve [vassal letter],009,
aemw/amarna/P271216,EA 157. Eager to serve [vassal letter],010,
aemw/amarna/P271216,EA 157. Eager to serve [vassal letter],011,
aemw/amarna/P271216,EA 157. Eager to serve [vassal letter],012,Ṣumur[1]GN
aemw/amarna/P271216,EA 157. Eager to serve [vassal letter],013,
aemw/amarna/P271216,EA 157. Eager to serve [vassal letter],014,
aemw/amarna/P271216,EA 157. Eager to serve [vassal letter],015,
aemw/amarna/P271216,EA 157. Eager to serve [vassal letter],016,
aemw/amarna/P271216,EA 157. Eager to serve [vassal letter],017,
aemw/amarna/P271216,EA 157. Eager to serve [vassal letter],018,
aemw/amarna/P271216,EA 157. Eager to serve [vassal letter],019,
aemw/amarna/P271216,EA 157. Eager to serve [vassal letter],020,
aemw/amarna/P271216,EA 157. Eager to serve [vassal letter],021,
aemw/amarna/P271216,EA 157. Eager to serve [vassal letter],022,
aemw/amarna/P271216,EA 157. Eager to serve [vassal letter],023,
aemw/amarna/P271216,EA 157. Eager to serve [vassal letter],025,
aemw/amarna/P271216,EA 157. Eager to serve [vassal letter],026,Šamaš[1]DN
aemw/amarna/P271216,EA 157. Eager to serve [vassal letter],027,
aemw/amarna/P271216,EA 157. Eager to serve [vassal letter],028,Hatti[1]GN
aemw/amarna/P271216,EA 157. Eager to serve [vassal letter],029,
aemw/amarna/P271216,EA 157. Eager to serve [vassal letter],030,
aemw/amarna/P271216,EA 157. Eager to serve [vassal letter],031,
aemw/amarna/P271216,EA 157. Eager to serve [vassal letter],032,
aemw/amarna/P271216,EA 157. Eager to serve [vassal letter],033,
aemw/amarna/P271216,EA 157. Eager to serve [vassal letter],034,
aemw/amarna/P271216,EA 157. Eager to serve [vassal letter],035,
aemw/amarna/P271216,EA 157. Eager to serve [vassal letter],036,
aemw/amarna/P271216,EA 157. Eager to serve [vassal letter],037,
aemw/amarna/P271216,EA 157. Eager to serve [vassal letter],038,
aemw/amarna/P271216,EA 157. Eager to serve [vassal letter],039,
aemw/amarna/P271216,EA 157. Eager to serve [vassal letter],040,Šamaš[1]DN
