id_text,text_name,l_no,text
dcclt/P370399,LTBA 1 79 [OB Ura],o i 2',ŋešnimbar[palm]N
dcclt/P370399,LTBA 1 79 [OB Ura],o i 3',ŋešnimbar[palm]N
dcclt/P370399,LTBA 1 79 [OB Ura],o i 4',ŋešnimbar[palm]N
dcclt/P370399,LTBA 1 79 [OB Ura],o i 5',ŋešnimbar[palm]N
dcclt/P370399,LTBA 1 79 [OB Ura],o i 6',ŋešnimbar[palm]N
dcclt/P370399,LTBA 1 79 [OB Ura],o i 7',ŋešnimbar[palm]N
dcclt/P370399,LTBA 1 79 [OB Ura],o i 9',ŋešnimbar[palm]N
dcclt/P370399,LTBA 1 79 [OB Ura],o i 10',da[side-board]N ŋešnimbar[palm]N
dcclt/P370399,LTBA 1 79 [OB Ura],o i 11',tubala[harness]N ŋešnimbar[palm]N
dcclt/P370399,LTBA 1 79 [OB Ura],o i 12',ŋešnimbar[palm]N
dcclt/P370399,LTBA 1 79 [OB Ura],o i 13',ŋešnimbar[palm]N
dcclt/P370399,LTBA 1 79 [OB Ura],o i 14',hara[shoot]N ŋešnimbar[palm]N
dcclt/P370399,LTBA 1 79 [OB Ura],o i 15',aʾan[spadix]N ŋešnimbar[palm]N
dcclt/P370399,LTBA 1 79 [OB Ura],o i 16',ŋešnimbar[palm]N
dcclt/P370399,LTBA 1 79 [OB Ura],o i 17',ŋešnimbar[palm]N
dcclt/P370399,LTBA 1 79 [OB Ura],o i 18',ŋešnimbar[palm]N
dcclt/P370399,LTBA 1 79 [OB Ura],o i 19',ŋešnimbar[palm]N
dcclt/P370399,LTBA 1 79 [OB Ura],o i 20',ŋešnimbar[palm]N
dcclt/P370399,LTBA 1 79 [OB Ura],o i 21',ŋešnimbar[palm]N
dcclt/P370399,LTBA 1 79 [OB Ura],o i 22',ŋešnimbar[palm]N
dcclt/P370399,LTBA 1 79 [OB Ura],o i 23',ŋešnimbar[palm]N
dcclt/P370399,LTBA 1 79 [OB Ura],o i 24',ŋešnimbar[palm]N
dcclt/P370399,LTBA 1 79 [OB Ura],o ii 2',suhuš[foundation]N
dcclt/P370399,LTBA 1 79 [OB Ura],o ii 15',ŋirigub[footstool]N
dcclt/P370399,LTBA 1 79 [OB Ura],o ii 16,ŋirigub[footstool]N lammar[deity]N
dcclt/P370399,LTBA 1 79 [OB Ura],o ii 17',gag[nail]N gar[knob]N
dcclt/P370399,LTBA 1 79 [OB Ura],o ii 18',murzanum[wooden-object]N
dcclt/P370399,LTBA 1 79 [OB Ura],o ii 24',emesig[plank]N
dcclt/P370399,LTBA 1 79 [OB Ura],o ii 25',ŋešnud[bed]N
dcclt/P370399,LTBA 1 79 [OB Ura],o ii 26',ŋeš.nud.AŠ.nud[bed]N
dcclt/P370399,LTBA 1 79 [OB Ura],o ii 27',ŋešnud[bed]N kinud[bedroom]N
dcclt/P370399,LTBA 1 79 [OB Ura],o ii 28',ŋešnud[bed]N
dcclt/P370399,LTBA 1 79 [OB Ura],o ii 29',ŋešnud[bed]N umbin[nail]N
dcclt/P370399,LTBA 1 79 [OB Ura],o ii 30',ŋešnud[bed]N umbin[nail]N sal[thin]V/i
dcclt/P370399,LTBA 1 79 [OB Ura],o ii 31',ŋešnud[bed]N umbin[nail]N gud[ox]N
dcclt/P370399,LTBA 1 79 [OB Ura],o ii 32',ŋešnud[bed]N garba[knob]N kugsig[gold]N ŋar[place]V/t
dcclt/P370399,LTBA 1 79 [OB Ura],o ii 33',ŋešnud[bed]N garba[knob]N
dcclt/P370399,LTBA 1 79 [OB Ura],o iii 1',guza[chair]N taškarin[boxwood]N
dcclt/P370399,LTBA 1 79 [OB Ura],o iii 2',guza[chair]N šagkal[tree]N
dcclt/P370399,LTBA 1 79 [OB Ura],o iii 3',guza[chair]N sirda[cnne]N
dcclt/P370399,LTBA 1 79 [OB Ura],o iii 4',guza[chair]N anše[equid]N
dcclt/P370399,LTBA 1 79 [OB Ura],o iii 5',guza[chair]N lugal[king]N
dcclt/P370399,LTBA 1 79 [OB Ura],o iii 6',guza[chair]N malah[sailor]N
dcclt/P370399,LTBA 1 79 [OB Ura],o iii 7',guza[chair]N kimah[grave]N
dcclt/P370399,LTBA 1 79 [OB Ura],o iii 8',guza[chair]N šuniŋin[total]N banda[junior]V/i
dcclt/P370399,LTBA 1 79 [OB Ura],o iii 9',saŋ[head]N guza[chair]N
dcclt/P370399,LTBA 1 79 [OB Ura],o iii 10',ŋešdi[rung]N guza[chair]N
dcclt/P370399,LTBA 1 79 [OB Ura],o iii 11',izzi[wall]N guza[chair]N
dcclt/P370399,LTBA 1 79 [OB Ura],o iii 12',umbin[base]N guza[chair]N
dcclt/P370399,LTBA 1 79 [OB Ura],o iii 13',banšur[table]N
dcclt/P370399,LTBA 1 79 [OB Ura],o iii 14',banšur[table]N
dcclt/P370399,LTBA 1 79 [OB Ura],o iii 15',banšur[table]N mul[star]N
dcclt/P370399,LTBA 1 79 [OB Ura],o iii 16,banšur[table]N
dcclt/P370399,LTBA 1 79 [OB Ura],o iii 17',banšur[table]N
dcclt/P370399,LTBA 1 79 [OB Ura],o iii 19',banšur[table]N
dcclt/P370399,LTBA 1 79 [OB Ura],o iii 20',banšurzaggula[table]N
dcclt/P370399,LTBA 1 79 [OB Ura],o iii 21,banšurzagŋara[table]N
dcclt/P370399,LTBA 1 79 [OB Ura],o iii 22',kaŋeškarak[table]N
dcclt/P370399,LTBA 1 79 [OB Ura],o iii 23',kaŋeškarak[table]N
dcclt/P370399,LTBA 1 79 [OB Ura],o iii 24',kaŋeškarak[table]N
dcclt/P370399,LTBA 1 79 [OB Ura],o iii 25',kaŋeškarak[table]N
dcclt/P370399,LTBA 1 79 [OB Ura],o iii 27',dilim[spoon]N
dcclt/P370399,LTBA 1 79 [OB Ura],o iii 28',dilim[spoon]N gal[big]V/i
dcclt/P370399,LTBA 1 79 [OB Ura],o iii 29',dilimbanda[bowl]N
dcclt/P370399,LTBA 1 79 [OB Ura],o iii 30',maštakda[wooden-object]N
dcclt/P370399,LTBA 1 79 [OB Ura],o iii 31',apin[plow]N
dcclt/P370399,LTBA 1 79 [OB Ura],o iii 32',saŋ[head]N apin[plow]N
dcclt/P370399,LTBA 1 79 [OB Ura],o iii 33',saŋ[head]N apin[plow]N
dcclt/P370399,LTBA 1 79 [OB Ura],o iii 34',gag[nail]N saŋ[head]N apin[plow]N
dcclt/P370399,LTBA 1 79 [OB Ura],o iii 35',da[side-board]N apin[plow]N
dcclt/P370399,LTBA 1 79 [OB Ura],o iii 36',a[arm]N apin[plow]N
dcclt/P370399,LTBA 1 79 [OB Ura],o iii 37',leʾum[board]N apin[plow]N
dcclt/P370399,LTBA 1 79 [OB Ura],o iii 38',apin[plow]N
dcclt/P370399,LTBA 1 79 [OB Ura],o iii 39',apin[plow]N
dcclt/P370399,LTBA 1 79 [OB Ura],o iii 40',apin[plow]N
dcclt/P370399,LTBA 1 79 [OB Ura],o iv 2',ŋešdal[crossbar]N
dcclt/P370399,LTBA 1 79 [OB Ura],o iv 3',margida[cart]N
dcclt/P370399,LTBA 1 79 [OB Ura],o iv 4',gagsila[harness]N
dcclt/P370399,LTBA 1 79 [OB Ura],o iv 5',zara[pivot]N gagsila[harness]N
dcclt/P370399,LTBA 1 79 [OB Ura],o iv 6',gag[nail]N zara[pivot]N gagsila[harness]N
dcclt/P370399,LTBA 1 79 [OB Ura],o iv 7',umbin[wheel]N gagsila[harness]N
dcclt/P370399,LTBA 1 79 [OB Ura],o iv 8',DUB.du₃[~vehicle]N ŋar[place]V/t
dcclt/P370399,LTBA 1 79 [OB Ura],o iv 9',DUB.du₃[~vehicle]N bar[outside]V/t
dcclt/P370399,LTBA 1 79 [OB Ura],o iv 10',DUB.du₃[~vehicle]N šag[heart]N
dcclt/P370399,LTBA 1 79 [OB Ura],o iv 11',gigir[chariot]N
dcclt/P370399,LTBA 1 79 [OB Ura],o iv 12',e[house]N gigir[chariot]N
dcclt/P370399,LTBA 1 79 [OB Ura],o iv 13',e[house]N usan[whip]N gigir[chariot]N
dcclt/P370399,LTBA 1 79 [OB Ura],o iv 14',gaba[chest]N gigir[chariot]N
dcclt/P370399,LTBA 1 79 [OB Ura],o iv 15',gabaŋal[guard]N gigir[chariot]N
dcclt/P370399,LTBA 1 79 [OB Ura],o iv 16',kun[tail]N gigir[chariot]N
dcclt/P370399,LTBA 1 79 [OB Ura],o iv 17',si[horn]N gigir[chariot]N
dcclt/P370399,LTBA 1 79 [OB Ura],o iv 18',umbin[wheel]N gigir[chariot]N
