id_text,text_name,l_no,text
aemw/amarna/P271092,EA 290. Three against one [vassal letter],001,
aemw/amarna/P271092,EA 290. Three against one [vassal letter],002,
aemw/amarna/P271092,EA 290. Three against one [vassal letter],003,IR₃-Heba[1]PN
aemw/amarna/P271092,EA 290. Three against one [vassal letter],004,
aemw/amarna/P271092,EA 290. Three against one [vassal letter],005,
aemw/amarna/P271092,EA 290. Three against one [vassal letter],006,Milk-ilu[1]PN Šuwardata[1]PN
aemw/amarna/P271092,EA 290. Three against one [vassal letter],007,
aemw/amarna/P271092,EA 290. Three against one [vassal letter],008,Gazru[Gezer]GN
aemw/amarna/P271092,EA 290. Three against one [vassal letter],009,Gimtu[Gath]GN
aemw/amarna/P271092,EA 290. Three against one [vassal letter],010,Qiltu[Kegila]GN
aemw/amarna/P271092,EA 290. Three against one [vassal letter],011,Rubbutu[1]GN
aemw/amarna/P271092,EA 290. Three against one [vassal letter],012,
aemw/amarna/P271092,EA 290. Three against one [vassal letter],013,
aemw/amarna/P271092,EA 290. Three against one [vassal letter],014,
aemw/amarna/P271092,EA 290. Three against one [vassal letter],015,Urušalim[Jerusalem]GN
aemw/amarna/P271092,EA 290. Three against one [vassal letter],016,Bit-ʿAnat[1]GN
aemw/amarna/P271092,EA 290. Three against one [vassal letter],017,
aemw/amarna/P271092,EA 290. Three against one [vassal letter],018,Qiltu[Kegila]GN
aemw/amarna/P271092,EA 290. Three against one [vassal letter],019,IR₃-Heba[1]PN
aemw/amarna/P271092,EA 290. Three against one [vassal letter],020,
aemw/amarna/P271092,EA 290. Three against one [vassal letter],021,
aemw/amarna/P271092,EA 290. Three against one [vassal letter],022,
aemw/amarna/P271092,EA 290. Three against one [vassal letter],023,
aemw/amarna/P271092,EA 290. Three against one [vassal letter],024,
aemw/amarna/P271092,EA 290. Three against one [vassal letter],025,
aemw/amarna/P271092,EA 290. Three against one [vassal letter],026,Milk-ilu[1]PN
aemw/amarna/P271092,EA 290. Three against one [vassal letter],027,Šuwardata[1]PN
aemw/amarna/P271092,EA 290. Three against one [vassal letter],028,Gintu-kirmil[Gath-Carmel]GN
aemw/amarna/P271092,EA 290. Three against one [vassal letter],029,
