id
ʾilu-rapiʾ[1]pn
artamanya[1]pn
gulati[1]pn
bayadi[1]pn
miṣru[egypt]gn
ʿaštartu[astaroth]gn
abdi-uraš[1]pn
yanhamu[1]pn
biʾri[1]pn
x-heba[1]pn
ugarit[1]gn
abdi-aširte[1]pn
silu[1]gn
hazi[1]gn
kinaʾanu[canaan]gn
nuhašše[1]gn
mištu[1]gn
ilu-dayyani[1]pn
aššur-uballiṭ[aššur-uballiṭ-i]pn
yahtiru[1]pn
yaʾzib-haddi[1]pn
addaya[1]pn
ṣiri-bašani[1]gn
hurri[1]en
aduna[1]pn
buṣruna[1]gn
mayarzana[1]pn
addumi[1]pn
yamaia[1]pn
hazzatu[gaza]gn
danuna[1]gn
šipṭuri[1]pn
niya[1]gn
hikuptah[memphis]gn
bayawa[1]pn
burquna[1]gn
yanuammu[1]gn
taku[1]pn
etilluna[1]pn
kaši[cush]en
kumidu[1]gn
dimašqu[damascus]gn
ammiya[1]gn
rib-haddi[1]pn
ammistamri[1]pn
udumu[1]gn
zunu[zanoach]gn
abdi-šullim[1]pn
addu-nirari[1]pn
teuwatti[1]pn
abdi-milki[02]pn
hatti[1]gn
šaddu[1]gn
amayaše[1]pn
yiqdasu[1]pn
abdi-ra-ma[1]pn
aiṭukama[1]pn
manahtu[manahath]gn
bit-ʿanat[1]gn
sutu[1]gn
hara-mašši[1]pn
gittu-padalla[gath-padalla]gn
aki-teššub[1]pn
maṣpat[1]gn
mušihunu[1]gn
yidya[1]pn
abdi-na-x[1]pn
milkuru[1]pn
harabu[1]gn
kargamiš[carchemish]gn
shumitta[1]pn
surašar[1]pn
naphuriya[akhenaten]pn
naṣiba[1]gn
ṣumur[1]gn
yabni-baʾlu[1]pn
peʾya[1]pn
šarru[1]pn
abdi-nin.urta[1]pn
yamiʾuta[1]pn
šakmu[shechem]gn
ṭubihu[tibhath]gn
meluhha[ethiopia]gn
lupakku[1]pn
magdalu[1]gn
kaškaya[1]en
šubandu[1]pn
api[1]pn
šaruna[1]gn
aman-appa[1]pn
burnaburiaš[burnaburiash-ii]pn
šipṭi-baʾlu[1]pn
kalbi[1]pn
baduzana[1]pn
kaššu[babylonia]gn
nahrima[mittani]gn
maireya[1]pn
haṣura[hazor]gn
ṣapuma[1]gn
yapaʾu[1]pn
amur-baʿlu[1]pn
akšapa[achshaph]gn
nibmuareya[amenhotep-iii]pn
