id_text,text_name,l_no,text
aemw/amarna/P271113,EA 242. Request granted [vassal letter],001,
aemw/amarna/P271113,EA 242. Request granted [vassal letter],002,Šamaš[1]DN
aemw/amarna/P271113,EA 242. Request granted [vassal letter],003,Biridiya[1]PN
aemw/amarna/P271113,EA 242. Request granted [vassal letter],004,Magidda[Megiddo]GN
aemw/amarna/P271113,EA 242. Request granted [vassal letter],005,
aemw/amarna/P271113,EA 242. Request granted [vassal letter],006,
aemw/amarna/P271113,EA 242. Request granted [vassal letter],007,Šamaš[1]DN
aemw/amarna/P271113,EA 242. Request granted [vassal letter],008,
aemw/amarna/P271113,EA 242. Request granted [vassal letter],009,
aemw/amarna/P271113,EA 242. Request granted [vassal letter],010,
aemw/amarna/P271113,EA 242. Request granted [vassal letter],011,
aemw/amarna/P271113,EA 242. Request granted [vassal letter],012,
aemw/amarna/P271113,EA 242. Request granted [vassal letter],014,
aemw/amarna/P271113,EA 242. Request granted [vassal letter],015,
aemw/amarna/P271113,EA 242. Request granted [vassal letter],016,
