id_text,text_name,l_no,text
aemw/amarna/P270925,EA 306. Vicarious homage [vassal letter],001,
aemw/amarna/P270925,EA 306. Vicarious homage [vassal letter],002,Šamaš[1]DN Šamaš[1]DN
aemw/amarna/P270925,EA 306. Vicarious homage [vassal letter],003,Šubandu[1]PN
aemw/amarna/P270925,EA 306. Vicarious homage [vassal letter],004,
aemw/amarna/P270925,EA 306. Vicarious homage [vassal letter],005,
aemw/amarna/P270925,EA 306. Vicarious homage [vassal letter],006,
aemw/amarna/P270925,EA 306. Vicarious homage [vassal letter],007,Šamaš[1]DN
aemw/amarna/P270925,EA 306. Vicarious homage [vassal letter],008,
aemw/amarna/P270925,EA 306. Vicarious homage [vassal letter],009,
aemw/amarna/P270925,EA 306. Vicarious homage [vassal letter],010,
aemw/amarna/P270925,EA 306. Vicarious homage [vassal letter],011,
aemw/amarna/P270925,EA 306. Vicarious homage [vassal letter],012,
aemw/amarna/P270925,EA 306. Vicarious homage [vassal letter],013,
aemw/amarna/P270925,EA 306. Vicarious homage [vassal letter],014,
aemw/amarna/P270925,EA 306. Vicarious homage [vassal letter],015,
aemw/amarna/P270925,EA 306. Vicarious homage [vassal letter],016,
aemw/amarna/P270925,EA 306. Vicarious homage [vassal letter],017,
aemw/amarna/P270925,EA 306. Vicarious homage [vassal letter],018,
aemw/amarna/P270925,EA 306. Vicarious homage [vassal letter],019,
aemw/amarna/P270925,EA 306. Vicarious homage [vassal letter],020,
aemw/amarna/P270925,EA 306. Vicarious homage [vassal letter],021,
aemw/amarna/P270925,EA 306. Vicarious homage [vassal letter],022,
aemw/amarna/P270925,EA 306. Vicarious homage [vassal letter],023,
aemw/amarna/P270925,EA 306. Vicarious homage [vassal letter],024,
aemw/amarna/P270925,EA 306. Vicarious homage [vassal letter],025,
aemw/amarna/P270925,EA 306. Vicarious homage [vassal letter],026,
aemw/amarna/P270925,EA 306. Vicarious homage [vassal letter],027,Šamaš[1]DN
aemw/amarna/P270925,EA 306. Vicarious homage [vassal letter],028,
aemw/amarna/P270925,EA 306. Vicarious homage [vassal letter],029,
aemw/amarna/P270925,EA 306. Vicarious homage [vassal letter],030,
aemw/amarna/P270925,EA 306. Vicarious homage [vassal letter],031,
aemw/amarna/P270925,EA 306. Vicarious homage [vassal letter],032,
aemw/amarna/P270925,EA 306. Vicarious homage [vassal letter],033,
aemw/amarna/P270925,EA 306. Vicarious homage [vassal letter],034,
aemw/amarna/P270925,EA 306. Vicarious homage [vassal letter],035,
aemw/amarna/P270925,EA 306. Vicarious homage [vassal letter],041,
