id_text,text_name,l_no,text
riao/Q005861,Tukulti-Ninurta I 25,r 4,Kaštiliašu[foreign-ruler]RN
riao/Q005861,Tukulti-Ninurta I 25,r 5,Kaššu[Kassite]EN
riao/Q005861,Tukulti-Ninurta I 25,r 6,Aššur[1]DN
riao/Q005861,Tukulti-Ninurta I 25,r 7,Šumeru[Sumer]GN Akkad[1]GN
riao/Q005861,Tukulti-Ninurta I 25,r 10,Aššur[1]DN
riao/Q005861,Tukulti-Ninurta I 25,r 11,Aššur[1]DN
riao/Q005861,Tukulti-Ninurta I 25,r 12,Aššur[Ashur]SN Idiqlat[Tigris]WN
riao/Q005861,Tukulti-Ninurta I 25,r 15,Aššur[1]DN
riao/Q005861,Tukulti-Ninurta I 25,r 16,Kar-Tukulti-Ninurta[1]SN
riao/Q005861,Tukulti-Ninurta I 25,r 23,Aššur[1]DN
riao/Q005861,Tukulti-Ninurta I 25,r 25,Kar-Tukulti-Ninurta[1]SN
riao/Q005861,Tukulti-Ninurta I 25,r 27,Aššur[1]DN Ekurmešarra[1]TN
riao/Q005861,Tukulti-Ninurta I 25,r 29,Aššur[1]DN
