Text,Line
|SI.A|-tum dam ur-{d}namma lugal urim₅{ki}-ma\abs lugal-kug-zu nu-banda₃\abs arad₂-zu\abs,|SI.A|-tum
|SI.A|-tum dam ur-{d}namma lugal urim₅{ki}-ma\abs lugal-kug-zu nu-banda₃\abs arad₂-zu\abs,dam ur-{d}namma
|SI.A|-tum dam ur-{d}namma lugal urim₅{ki}-ma\abs lugal-kug-zu nu-banda₃\abs arad₂-zu\abs,lugal urim₅{ki}-ma\abs
|SI.A|-tum dam ur-{d}namma lugal urim₅{ki}-ma\abs lugal-kug-zu nu-banda₃\abs arad₂-zu\abs,lugal-kug-zu
|SI.A|-tum dam ur-{d}namma lugal urim₅{ki}-ma\abs lugal-kug-zu nu-banda₃\abs arad₂-zu\abs,nu-banda₃\abs
|SI.A|-tum dam ur-{d}namma lugal urim₅{ki}-ma\abs lugal-kug-zu nu-banda₃\abs arad₂-zu\abs,arad₂-zu\abs
