Text,Line
{d}nin-ŋir₂-su₂ ur-saŋ {d}en-lilₓ(E₂)-ra\gen\dat en-an-na-tum₂ ensi₂ lagaš{ki}\gen šag₄\l3 pad₃-da {d}nanše\gen ensi₂-gal {d}nin-ŋir₂-su₂-ka dumu en-mete-na ensi₂ lagaš{ki}-ka-ke₄ {d}nin-ŋir₂-su₂-ra e₂-lungaₓ(|BI×GAR|)-ka-ni\abs ki-be₂\n5el3 mu-na-gi₄ en-an-na-tum₂ lu₂ e₂-lungaₓ(|BI×GAR|) {d}nin-ŋir₂-su₂-ka\abs ki-be₂\n5el3 gi₄-a\gen diŋir-ra-ni\abs {d}šul-|MUŠ×PA|-am₆,{d}nin-ŋir₂-su₂
{d}nin-ŋir₂-su₂ ur-saŋ {d}en-lilₓ(E₂)-ra\gen\dat en-an-na-tum₂ ensi₂ lagaš{ki}\gen šag₄\l3 pad₃-da {d}nanše\gen ensi₂-gal {d}nin-ŋir₂-su₂-ka dumu en-mete-na ensi₂ lagaš{ki}-ka-ke₄ {d}nin-ŋir₂-su₂-ra e₂-lungaₓ(|BI×GAR|)-ka-ni\abs ki-be₂\n5el3 mu-na-gi₄ en-an-na-tum₂ lu₂ e₂-lungaₓ(|BI×GAR|) {d}nin-ŋir₂-su₂-ka\abs ki-be₂\n5el3 gi₄-a\gen diŋir-ra-ni\abs {d}šul-|MUŠ×PA|-am₆,ur-saŋ {d}en-lilₓ(E₂)-ra\gen\dat
{d}nin-ŋir₂-su₂ ur-saŋ {d}en-lilₓ(E₂)-ra\gen\dat en-an-na-tum₂ ensi₂ lagaš{ki}\gen šag₄\l3 pad₃-da {d}nanše\gen ensi₂-gal {d}nin-ŋir₂-su₂-ka dumu en-mete-na ensi₂ lagaš{ki}-ka-ke₄ {d}nin-ŋir₂-su₂-ra e₂-lungaₓ(|BI×GAR|)-ka-ni\abs ki-be₂\n5el3 mu-na-gi₄ en-an-na-tum₂ lu₂ e₂-lungaₓ(|BI×GAR|) {d}nin-ŋir₂-su₂-ka\abs ki-be₂\n5el3 gi₄-a\gen diŋir-ra-ni\abs {d}šul-|MUŠ×PA|-am₆,en-an-na-tum₂
{d}nin-ŋir₂-su₂ ur-saŋ {d}en-lilₓ(E₂)-ra\gen\dat en-an-na-tum₂ ensi₂ lagaš{ki}\gen šag₄\l3 pad₃-da {d}nanše\gen ensi₂-gal {d}nin-ŋir₂-su₂-ka dumu en-mete-na ensi₂ lagaš{ki}-ka-ke₄ {d}nin-ŋir₂-su₂-ra e₂-lungaₓ(|BI×GAR|)-ka-ni\abs ki-be₂\n5el3 mu-na-gi₄ en-an-na-tum₂ lu₂ e₂-lungaₓ(|BI×GAR|) {d}nin-ŋir₂-su₂-ka\abs ki-be₂\n5el3 gi₄-a\gen diŋir-ra-ni\abs {d}šul-|MUŠ×PA|-am₆,ensi₂
{d}nin-ŋir₂-su₂ ur-saŋ {d}en-lilₓ(E₂)-ra\gen\dat en-an-na-tum₂ ensi₂ lagaš{ki}\gen šag₄\l3 pad₃-da {d}nanše\gen ensi₂-gal {d}nin-ŋir₂-su₂-ka dumu en-mete-na ensi₂ lagaš{ki}-ka-ke₄ {d}nin-ŋir₂-su₂-ra e₂-lungaₓ(|BI×GAR|)-ka-ni\abs ki-be₂\n5el3 mu-na-gi₄ en-an-na-tum₂ lu₂ e₂-lungaₓ(|BI×GAR|) {d}nin-ŋir₂-su₂-ka\abs ki-be₂\n5el3 gi₄-a\gen diŋir-ra-ni\abs {d}šul-|MUŠ×PA|-am₆,lagaš{ki}\gen
{d}nin-ŋir₂-su₂ ur-saŋ {d}en-lilₓ(E₂)-ra\gen\dat en-an-na-tum₂ ensi₂ lagaš{ki}\gen šag₄\l3 pad₃-da {d}nanše\gen ensi₂-gal {d}nin-ŋir₂-su₂-ka dumu en-mete-na ensi₂ lagaš{ki}-ka-ke₄ {d}nin-ŋir₂-su₂-ra e₂-lungaₓ(|BI×GAR|)-ka-ni\abs ki-be₂\n5el3 mu-na-gi₄ en-an-na-tum₂ lu₂ e₂-lungaₓ(|BI×GAR|) {d}nin-ŋir₂-su₂-ka\abs ki-be₂\n5el3 gi₄-a\gen diŋir-ra-ni\abs {d}šul-|MUŠ×PA|-am₆,šag₄\l3 pad₃-da
{d}nin-ŋir₂-su₂ ur-saŋ {d}en-lilₓ(E₂)-ra\gen\dat en-an-na-tum₂ ensi₂ lagaš{ki}\gen šag₄\l3 pad₃-da {d}nanše\gen ensi₂-gal {d}nin-ŋir₂-su₂-ka dumu en-mete-na ensi₂ lagaš{ki}-ka-ke₄ {d}nin-ŋir₂-su₂-ra e₂-lungaₓ(|BI×GAR|)-ka-ni\abs ki-be₂\n5el3 mu-na-gi₄ en-an-na-tum₂ lu₂ e₂-lungaₓ(|BI×GAR|) {d}nin-ŋir₂-su₂-ka\abs ki-be₂\n5el3 gi₄-a\gen diŋir-ra-ni\abs {d}šul-|MUŠ×PA|-am₆,{d}nanše\gen
{d}nin-ŋir₂-su₂ ur-saŋ {d}en-lilₓ(E₂)-ra\gen\dat en-an-na-tum₂ ensi₂ lagaš{ki}\gen šag₄\l3 pad₃-da {d}nanše\gen ensi₂-gal {d}nin-ŋir₂-su₂-ka dumu en-mete-na ensi₂ lagaš{ki}-ka-ke₄ {d}nin-ŋir₂-su₂-ra e₂-lungaₓ(|BI×GAR|)-ka-ni\abs ki-be₂\n5el3 mu-na-gi₄ en-an-na-tum₂ lu₂ e₂-lungaₓ(|BI×GAR|) {d}nin-ŋir₂-su₂-ka\abs ki-be₂\n5el3 gi₄-a\gen diŋir-ra-ni\abs {d}šul-|MUŠ×PA|-am₆,ensi₂-gal
{d}nin-ŋir₂-su₂ ur-saŋ {d}en-lilₓ(E₂)-ra\gen\dat en-an-na-tum₂ ensi₂ lagaš{ki}\gen šag₄\l3 pad₃-da {d}nanše\gen ensi₂-gal {d}nin-ŋir₂-su₂-ka dumu en-mete-na ensi₂ lagaš{ki}-ka-ke₄ {d}nin-ŋir₂-su₂-ra e₂-lungaₓ(|BI×GAR|)-ka-ni\abs ki-be₂\n5el3 mu-na-gi₄ en-an-na-tum₂ lu₂ e₂-lungaₓ(|BI×GAR|) {d}nin-ŋir₂-su₂-ka\abs ki-be₂\n5el3 gi₄-a\gen diŋir-ra-ni\abs {d}šul-|MUŠ×PA|-am₆,{d}nin-ŋir₂-su₂-ka
{d}nin-ŋir₂-su₂ ur-saŋ {d}en-lilₓ(E₂)-ra\gen\dat en-an-na-tum₂ ensi₂ lagaš{ki}\gen šag₄\l3 pad₃-da {d}nanše\gen ensi₂-gal {d}nin-ŋir₂-su₂-ka dumu en-mete-na ensi₂ lagaš{ki}-ka-ke₄ {d}nin-ŋir₂-su₂-ra e₂-lungaₓ(|BI×GAR|)-ka-ni\abs ki-be₂\n5el3 mu-na-gi₄ en-an-na-tum₂ lu₂ e₂-lungaₓ(|BI×GAR|) {d}nin-ŋir₂-su₂-ka\abs ki-be₂\n5el3 gi₄-a\gen diŋir-ra-ni\abs {d}šul-|MUŠ×PA|-am₆,dumu en-mete-na
{d}nin-ŋir₂-su₂ ur-saŋ {d}en-lilₓ(E₂)-ra\gen\dat en-an-na-tum₂ ensi₂ lagaš{ki}\gen šag₄\l3 pad₃-da {d}nanše\gen ensi₂-gal {d}nin-ŋir₂-su₂-ka dumu en-mete-na ensi₂ lagaš{ki}-ka-ke₄ {d}nin-ŋir₂-su₂-ra e₂-lungaₓ(|BI×GAR|)-ka-ni\abs ki-be₂\n5el3 mu-na-gi₄ en-an-na-tum₂ lu₂ e₂-lungaₓ(|BI×GAR|) {d}nin-ŋir₂-su₂-ka\abs ki-be₂\n5el3 gi₄-a\gen diŋir-ra-ni\abs {d}šul-|MUŠ×PA|-am₆,ensi₂
{d}nin-ŋir₂-su₂ ur-saŋ {d}en-lilₓ(E₂)-ra\gen\dat en-an-na-tum₂ ensi₂ lagaš{ki}\gen šag₄\l3 pad₃-da {d}nanše\gen ensi₂-gal {d}nin-ŋir₂-su₂-ka dumu en-mete-na ensi₂ lagaš{ki}-ka-ke₄ {d}nin-ŋir₂-su₂-ra e₂-lungaₓ(|BI×GAR|)-ka-ni\abs ki-be₂\n5el3 mu-na-gi₄ en-an-na-tum₂ lu₂ e₂-lungaₓ(|BI×GAR|) {d}nin-ŋir₂-su₂-ka\abs ki-be₂\n5el3 gi₄-a\gen diŋir-ra-ni\abs {d}šul-|MUŠ×PA|-am₆,lagaš{ki}-ka-ke₄
{d}nin-ŋir₂-su₂ ur-saŋ {d}en-lilₓ(E₂)-ra\gen\dat en-an-na-tum₂ ensi₂ lagaš{ki}\gen šag₄\l3 pad₃-da {d}nanše\gen ensi₂-gal {d}nin-ŋir₂-su₂-ka dumu en-mete-na ensi₂ lagaš{ki}-ka-ke₄ {d}nin-ŋir₂-su₂-ra e₂-lungaₓ(|BI×GAR|)-ka-ni\abs ki-be₂\n5el3 mu-na-gi₄ en-an-na-tum₂ lu₂ e₂-lungaₓ(|BI×GAR|) {d}nin-ŋir₂-su₂-ka\abs ki-be₂\n5el3 gi₄-a\gen diŋir-ra-ni\abs {d}šul-|MUŠ×PA|-am₆,{d}nin-ŋir₂-su₂-ra
{d}nin-ŋir₂-su₂ ur-saŋ {d}en-lilₓ(E₂)-ra\gen\dat en-an-na-tum₂ ensi₂ lagaš{ki}\gen šag₄\l3 pad₃-da {d}nanše\gen ensi₂-gal {d}nin-ŋir₂-su₂-ka dumu en-mete-na ensi₂ lagaš{ki}-ka-ke₄ {d}nin-ŋir₂-su₂-ra e₂-lungaₓ(|BI×GAR|)-ka-ni\abs ki-be₂\n5el3 mu-na-gi₄ en-an-na-tum₂ lu₂ e₂-lungaₓ(|BI×GAR|) {d}nin-ŋir₂-su₂-ka\abs ki-be₂\n5el3 gi₄-a\gen diŋir-ra-ni\abs {d}šul-|MUŠ×PA|-am₆,e₂-lungaₓ(|BI×GAR|)-ka-ni\abs
{d}nin-ŋir₂-su₂ ur-saŋ {d}en-lilₓ(E₂)-ra\gen\dat en-an-na-tum₂ ensi₂ lagaš{ki}\gen šag₄\l3 pad₃-da {d}nanše\gen ensi₂-gal {d}nin-ŋir₂-su₂-ka dumu en-mete-na ensi₂ lagaš{ki}-ka-ke₄ {d}nin-ŋir₂-su₂-ra e₂-lungaₓ(|BI×GAR|)-ka-ni\abs ki-be₂\n5el3 mu-na-gi₄ en-an-na-tum₂ lu₂ e₂-lungaₓ(|BI×GAR|) {d}nin-ŋir₂-su₂-ka\abs ki-be₂\n5el3 gi₄-a\gen diŋir-ra-ni\abs {d}šul-|MUŠ×PA|-am₆,ki-be₂\n5el3 mu-na-gi₄
