Text,Line
{d}šu-{d}suen lugal kalag-ga lugal urim₅{ki}-ma lugal an-ub-da limmu₂-ba\abs hu-la-al dub-sar dumu šu-{d}iškur\gen\abs arad₂-zu\abs,{d}šu-{d}suen
{d}šu-{d}suen lugal kalag-ga lugal urim₅{ki}-ma lugal an-ub-da limmu₂-ba\abs hu-la-al dub-sar dumu šu-{d}iškur\gen\abs arad₂-zu\abs,lugal kalag-ga
{d}šu-{d}suen lugal kalag-ga lugal urim₅{ki}-ma lugal an-ub-da limmu₂-ba\abs hu-la-al dub-sar dumu šu-{d}iškur\gen\abs arad₂-zu\abs,lugal urim₅{ki}-ma
{d}šu-{d}suen lugal kalag-ga lugal urim₅{ki}-ma lugal an-ub-da limmu₂-ba\abs hu-la-al dub-sar dumu šu-{d}iškur\gen\abs arad₂-zu\abs,lugal an-ub-da limmu₂-ba\abs
{d}šu-{d}suen lugal kalag-ga lugal urim₅{ki}-ma lugal an-ub-da limmu₂-ba\abs hu-la-al dub-sar dumu šu-{d}iškur\gen\abs arad₂-zu\abs,hu-la-al
{d}šu-{d}suen lugal kalag-ga lugal urim₅{ki}-ma lugal an-ub-da limmu₂-ba\abs hu-la-al dub-sar dumu šu-{d}iškur\gen\abs arad₂-zu\abs,dub-sar
{d}šu-{d}suen lugal kalag-ga lugal urim₅{ki}-ma lugal an-ub-da limmu₂-ba\abs hu-la-al dub-sar dumu šu-{d}iškur\gen\abs arad₂-zu\abs,dumu šu-{d}iškur\gen\abs
{d}šu-{d}suen lugal kalag-ga lugal urim₅{ki}-ma lugal an-ub-da limmu₂-ba\abs hu-la-al dub-sar dumu šu-{d}iškur\gen\abs arad₂-zu\abs,arad₂-zu\abs
