Text,Line
{d}šul-gi nita kalag-ga lugal urim₅{ki}-ma {d}ba-u₂-ib₂-gu-ul ra₂-gaba\abs arad₂-zu\abs,{d}šul-gi
{d}šul-gi nita kalag-ga lugal urim₅{ki}-ma {d}ba-u₂-ib₂-gu-ul ra₂-gaba\abs arad₂-zu\abs,nita kalag-ga
{d}šul-gi nita kalag-ga lugal urim₅{ki}-ma {d}ba-u₂-ib₂-gu-ul ra₂-gaba\abs arad₂-zu\abs,lugal urim₅{ki}-ma
{d}šul-gi nita kalag-ga lugal urim₅{ki}-ma {d}ba-u₂-ib₂-gu-ul ra₂-gaba\abs arad₂-zu\abs,{d}ba-u₂-ib₂-gu-ul
{d}šul-gi nita kalag-ga lugal urim₅{ki}-ma {d}ba-u₂-ib₂-gu-ul ra₂-gaba\abs arad₂-zu\abs,ra₂-gaba\abs
{d}šul-gi nita kalag-ga lugal urim₅{ki}-ma {d}ba-u₂-ib₂-gu-ul ra₂-gaba\abs arad₂-zu\abs,arad₂-zu\abs
