Text,Line
{d}šu-{d}suen lugal kalag-ga lugal urim₅{ki}-ma lugal an-ub-da limmu₂-ba\abs ME-{d}ištaran nin₉ ki\abs aŋ₂-ŋa₂-ni\abs {d}adad-ILLAT dumu a-bi₂-a\gen\abs arad₂-zu\abs dub-sar\abs,{d}šu-{d}suen
{d}šu-{d}suen lugal kalag-ga lugal urim₅{ki}-ma lugal an-ub-da limmu₂-ba\abs ME-{d}ištaran nin₉ ki\abs aŋ₂-ŋa₂-ni\abs {d}adad-ILLAT dumu a-bi₂-a\gen\abs arad₂-zu\abs dub-sar\abs,lugal kalag-ga
{d}šu-{d}suen lugal kalag-ga lugal urim₅{ki}-ma lugal an-ub-da limmu₂-ba\abs ME-{d}ištaran nin₉ ki\abs aŋ₂-ŋa₂-ni\abs {d}adad-ILLAT dumu a-bi₂-a\gen\abs arad₂-zu\abs dub-sar\abs,lugal urim₅{ki}-ma
{d}šu-{d}suen lugal kalag-ga lugal urim₅{ki}-ma lugal an-ub-da limmu₂-ba\abs ME-{d}ištaran nin₉ ki\abs aŋ₂-ŋa₂-ni\abs {d}adad-ILLAT dumu a-bi₂-a\gen\abs arad₂-zu\abs dub-sar\abs,lugal an-ub-da limmu₂-ba\abs
{d}šu-{d}suen lugal kalag-ga lugal urim₅{ki}-ma lugal an-ub-da limmu₂-ba\abs ME-{d}ištaran nin₉ ki\abs aŋ₂-ŋa₂-ni\abs {d}adad-ILLAT dumu a-bi₂-a\gen\abs arad₂-zu\abs dub-sar\abs,ME-{d}ištaran
{d}šu-{d}suen lugal kalag-ga lugal urim₅{ki}-ma lugal an-ub-da limmu₂-ba\abs ME-{d}ištaran nin₉ ki\abs aŋ₂-ŋa₂-ni\abs {d}adad-ILLAT dumu a-bi₂-a\gen\abs arad₂-zu\abs dub-sar\abs,nin₉ ki\abs aŋ₂-ŋa₂-ni\abs
{d}šu-{d}suen lugal kalag-ga lugal urim₅{ki}-ma lugal an-ub-da limmu₂-ba\abs ME-{d}ištaran nin₉ ki\abs aŋ₂-ŋa₂-ni\abs {d}adad-ILLAT dumu a-bi₂-a\gen\abs arad₂-zu\abs dub-sar\abs,{d}adad-ILLAT
{d}šu-{d}suen lugal kalag-ga lugal urim₅{ki}-ma lugal an-ub-da limmu₂-ba\abs ME-{d}ištaran nin₉ ki\abs aŋ₂-ŋa₂-ni\abs {d}adad-ILLAT dumu a-bi₂-a\gen\abs arad₂-zu\abs dub-sar\abs,dumu a-bi₂-a\gen\abs
{d}šu-{d}suen lugal kalag-ga lugal urim₅{ki}-ma lugal an-ub-da limmu₂-ba\abs ME-{d}ištaran nin₉ ki\abs aŋ₂-ŋa₂-ni\abs {d}adad-ILLAT dumu a-bi₂-a\gen\abs arad₂-zu\abs dub-sar\abs,arad₂-zu\abs
{d}šu-{d}suen lugal kalag-ga lugal urim₅{ki}-ma lugal an-ub-da limmu₂-ba\abs ME-{d}ištaran nin₉ ki\abs aŋ₂-ŋa₂-ni\abs {d}adad-ILLAT dumu a-bi₂-a\gen\abs arad₂-zu\abs dub-sar\abs,dub-sar\abs
