Text,Line
{d}šul-šag₄-ga dumu ki\abs aŋ₂ {d}nin-ŋir₂-su-ka lugal-a-ni\dat ur-{d}nin-mar-ki ensi₂ lagaš{ki}-ke₄ nam-til₃-la-ni-še₃ a\abs mu-na-ru,{d}šul-šag₄-ga
{d}šul-šag₄-ga dumu ki\abs aŋ₂ {d}nin-ŋir₂-su-ka lugal-a-ni\dat ur-{d}nin-mar-ki ensi₂ lagaš{ki}-ke₄ nam-til₃-la-ni-še₃ a\abs mu-na-ru,dumu ki\abs aŋ₂
{d}šul-šag₄-ga dumu ki\abs aŋ₂ {d}nin-ŋir₂-su-ka lugal-a-ni\dat ur-{d}nin-mar-ki ensi₂ lagaš{ki}-ke₄ nam-til₃-la-ni-še₃ a\abs mu-na-ru,{d}nin-ŋir₂-su-ka
{d}šul-šag₄-ga dumu ki\abs aŋ₂ {d}nin-ŋir₂-su-ka lugal-a-ni\dat ur-{d}nin-mar-ki ensi₂ lagaš{ki}-ke₄ nam-til₃-la-ni-še₃ a\abs mu-na-ru,lugal-a-ni\dat
{d}šul-šag₄-ga dumu ki\abs aŋ₂ {d}nin-ŋir₂-su-ka lugal-a-ni\dat ur-{d}nin-mar-ki ensi₂ lagaš{ki}-ke₄ nam-til₃-la-ni-še₃ a\abs mu-na-ru,ur-{d}nin-mar-ki
{d}šul-šag₄-ga dumu ki\abs aŋ₂ {d}nin-ŋir₂-su-ka lugal-a-ni\dat ur-{d}nin-mar-ki ensi₂ lagaš{ki}-ke₄ nam-til₃-la-ni-še₃ a\abs mu-na-ru,ensi₂
{d}šul-šag₄-ga dumu ki\abs aŋ₂ {d}nin-ŋir₂-su-ka lugal-a-ni\dat ur-{d}nin-mar-ki ensi₂ lagaš{ki}-ke₄ nam-til₃-la-ni-še₃ a\abs mu-na-ru,lagaš{ki}-ke₄
{d}šul-šag₄-ga dumu ki\abs aŋ₂ {d}nin-ŋir₂-su-ka lugal-a-ni\dat ur-{d}nin-mar-ki ensi₂ lagaš{ki}-ke₄ nam-til₃-la-ni-še₃ a\abs mu-na-ru,nam-til₃-la-ni-še₃
{d}šul-šag₄-ga dumu ki\abs aŋ₂ {d}nin-ŋir₂-su-ka lugal-a-ni\dat ur-{d}nin-mar-ki ensi₂ lagaš{ki}-ke₄ nam-til₃-la-ni-še₃ a\abs mu-na-ru,a\abs mu-na-ru
