Text,Line
{d}nin-dar-a lugal uru₁₆ lugal-a-ni\dat gu₃-de₂-a ensi₂ lagaš{ki}-ke₄ e₂ ki\abs aŋ₂-ŋa₂-ni e₂-lal₃-de₆ ki-eš₃-sa₂{ki}-ka-ni\abs mu-na-du₃,{d}nin-dar-a
{d}nin-dar-a lugal uru₁₆ lugal-a-ni\dat gu₃-de₂-a ensi₂ lagaš{ki}-ke₄ e₂ ki\abs aŋ₂-ŋa₂-ni e₂-lal₃-de₆ ki-eš₃-sa₂{ki}-ka-ni\abs mu-na-du₃,lugal uru₁₆
{d}nin-dar-a lugal uru₁₆ lugal-a-ni\dat gu₃-de₂-a ensi₂ lagaš{ki}-ke₄ e₂ ki\abs aŋ₂-ŋa₂-ni e₂-lal₃-de₆ ki-eš₃-sa₂{ki}-ka-ni\abs mu-na-du₃,lugal-a-ni\dat
{d}nin-dar-a lugal uru₁₆ lugal-a-ni\dat gu₃-de₂-a ensi₂ lagaš{ki}-ke₄ e₂ ki\abs aŋ₂-ŋa₂-ni e₂-lal₃-de₆ ki-eš₃-sa₂{ki}-ka-ni\abs mu-na-du₃,gu₃-de₂-a
{d}nin-dar-a lugal uru₁₆ lugal-a-ni\dat gu₃-de₂-a ensi₂ lagaš{ki}-ke₄ e₂ ki\abs aŋ₂-ŋa₂-ni e₂-lal₃-de₆ ki-eš₃-sa₂{ki}-ka-ni\abs mu-na-du₃,ensi₂
{d}nin-dar-a lugal uru₁₆ lugal-a-ni\dat gu₃-de₂-a ensi₂ lagaš{ki}-ke₄ e₂ ki\abs aŋ₂-ŋa₂-ni e₂-lal₃-de₆ ki-eš₃-sa₂{ki}-ka-ni\abs mu-na-du₃,lagaš{ki}-ke₄
{d}nin-dar-a lugal uru₁₆ lugal-a-ni\dat gu₃-de₂-a ensi₂ lagaš{ki}-ke₄ e₂ ki\abs aŋ₂-ŋa₂-ni e₂-lal₃-de₆ ki-eš₃-sa₂{ki}-ka-ni\abs mu-na-du₃,e₂ ki\abs aŋ₂-ŋa₂-ni
{d}nin-dar-a lugal uru₁₆ lugal-a-ni\dat gu₃-de₂-a ensi₂ lagaš{ki}-ke₄ e₂ ki\abs aŋ₂-ŋa₂-ni e₂-lal₃-de₆ ki-eš₃-sa₂{ki}-ka-ni\abs mu-na-du₃,e₂-lal₃-de₆
{d}nin-dar-a lugal uru₁₆ lugal-a-ni\dat gu₃-de₂-a ensi₂ lagaš{ki}-ke₄ e₂ ki\abs aŋ₂-ŋa₂-ni e₂-lal₃-de₆ ki-eš₃-sa₂{ki}-ka-ni\abs mu-na-du₃,ki-eš₃-sa₂{ki}-ka-ni\abs
{d}nin-dar-a lugal uru₁₆ lugal-a-ni\dat gu₃-de₂-a ensi₂ lagaš{ki}-ke₄ e₂ ki\abs aŋ₂-ŋa₂-ni e₂-lal₃-de₆ ki-eš₃-sa₂{ki}-ka-ni\abs mu-na-du₃,mu-na-du₃
