Text,Line
{d}lamma nin-a-ni\dat nam-til₃ ur-GAR ensi₂ lagaš{ki}-ka-še₃ x dub-sar dumu pu₂-ta ugula-ke₄ u₃ nam-til₃-la-ni-še₃ a\abs mu-na-ru,{d}lamma
{d}lamma nin-a-ni\dat nam-til₃ ur-GAR ensi₂ lagaš{ki}-ka-še₃ x dub-sar dumu pu₂-ta ugula-ke₄ u₃ nam-til₃-la-ni-še₃ a\abs mu-na-ru,nin-a-ni\dat
{d}lamma nin-a-ni\dat nam-til₃ ur-GAR ensi₂ lagaš{ki}-ka-še₃ x dub-sar dumu pu₂-ta ugula-ke₄ u₃ nam-til₃-la-ni-še₃ a\abs mu-na-ru,nam-til₃
{d}lamma nin-a-ni\dat nam-til₃ ur-GAR ensi₂ lagaš{ki}-ka-še₃ x dub-sar dumu pu₂-ta ugula-ke₄ u₃ nam-til₃-la-ni-še₃ a\abs mu-na-ru,ur-GAR
{d}lamma nin-a-ni\dat nam-til₃ ur-GAR ensi₂ lagaš{ki}-ka-še₃ x dub-sar dumu pu₂-ta ugula-ke₄ u₃ nam-til₃-la-ni-še₃ a\abs mu-na-ru,ensi₂
{d}lamma nin-a-ni\dat nam-til₃ ur-GAR ensi₂ lagaš{ki}-ka-še₃ x dub-sar dumu pu₂-ta ugula-ke₄ u₃ nam-til₃-la-ni-še₃ a\abs mu-na-ru,lagaš{ki}-ka-še₃
{d}lamma nin-a-ni\dat nam-til₃ ur-GAR ensi₂ lagaš{ki}-ka-še₃ x dub-sar dumu pu₂-ta ugula-ke₄ u₃ nam-til₃-la-ni-še₃ a\abs mu-na-ru,x dub-sar
{d}lamma nin-a-ni\dat nam-til₃ ur-GAR ensi₂ lagaš{ki}-ka-še₃ x dub-sar dumu pu₂-ta ugula-ke₄ u₃ nam-til₃-la-ni-še₃ a\abs mu-na-ru,dumu pu₂-ta ugula-ke₄
{d}lamma nin-a-ni\dat nam-til₃ ur-GAR ensi₂ lagaš{ki}-ka-še₃ x dub-sar dumu pu₂-ta ugula-ke₄ u₃ nam-til₃-la-ni-še₃ a\abs mu-na-ru,u₃ nam-til₃-la-ni-še₃
{d}lamma nin-a-ni\dat nam-til₃ ur-GAR ensi₂ lagaš{ki}-ka-še₃ x dub-sar dumu pu₂-ta ugula-ke₄ u₃ nam-til₃-la-ni-še₃ a\abs mu-na-ru,a\abs mu-na-ru
