Text,Line
{d}inana mu-ur₅{ki}\gen {d}inana-ka-ni-ir nam-til₃ {d}li-pi₂-it-eš₄-tar₂ sipad ŋeš\abs tuku diŋir-re-e-ne\gen lugal ki-en-gi ki-uri\gen dam {d}inana-ka-še₃ la-ma-sa₃-tum ama-ne₂ u₃ nam-til₃-la-ni-še₃ e₂-mar-uru₅ šutum₂ ki\abs aŋ₂-ŋa₂-ni\abs šag₄ i₃-si-in{ki}-na-ka mu-na-du₃,{d}inana
{d}inana mu-ur₅{ki}\gen {d}inana-ka-ni-ir nam-til₃ {d}li-pi₂-it-eš₄-tar₂ sipad ŋeš\abs tuku diŋir-re-e-ne\gen lugal ki-en-gi ki-uri\gen dam {d}inana-ka-še₃ la-ma-sa₃-tum ama-ne₂ u₃ nam-til₃-la-ni-še₃ e₂-mar-uru₅ šutum₂ ki\abs aŋ₂-ŋa₂-ni\abs šag₄ i₃-si-in{ki}-na-ka mu-na-du₃,mu-ur₅{ki}\gen
{d}inana mu-ur₅{ki}\gen {d}inana-ka-ni-ir nam-til₃ {d}li-pi₂-it-eš₄-tar₂ sipad ŋeš\abs tuku diŋir-re-e-ne\gen lugal ki-en-gi ki-uri\gen dam {d}inana-ka-še₃ la-ma-sa₃-tum ama-ne₂ u₃ nam-til₃-la-ni-še₃ e₂-mar-uru₅ šutum₂ ki\abs aŋ₂-ŋa₂-ni\abs šag₄ i₃-si-in{ki}-na-ka mu-na-du₃,{d}inana-ka-ni-ir
{d}inana mu-ur₅{ki}\gen {d}inana-ka-ni-ir nam-til₃ {d}li-pi₂-it-eš₄-tar₂ sipad ŋeš\abs tuku diŋir-re-e-ne\gen lugal ki-en-gi ki-uri\gen dam {d}inana-ka-še₃ la-ma-sa₃-tum ama-ne₂ u₃ nam-til₃-la-ni-še₃ e₂-mar-uru₅ šutum₂ ki\abs aŋ₂-ŋa₂-ni\abs šag₄ i₃-si-in{ki}-na-ka mu-na-du₃,nam-til₃
{d}inana mu-ur₅{ki}\gen {d}inana-ka-ni-ir nam-til₃ {d}li-pi₂-it-eš₄-tar₂ sipad ŋeš\abs tuku diŋir-re-e-ne\gen lugal ki-en-gi ki-uri\gen dam {d}inana-ka-še₃ la-ma-sa₃-tum ama-ne₂ u₃ nam-til₃-la-ni-še₃ e₂-mar-uru₅ šutum₂ ki\abs aŋ₂-ŋa₂-ni\abs šag₄ i₃-si-in{ki}-na-ka mu-na-du₃,{d}li-pi₂-it-eš₄-tar₂
{d}inana mu-ur₅{ki}\gen {d}inana-ka-ni-ir nam-til₃ {d}li-pi₂-it-eš₄-tar₂ sipad ŋeš\abs tuku diŋir-re-e-ne\gen lugal ki-en-gi ki-uri\gen dam {d}inana-ka-še₃ la-ma-sa₃-tum ama-ne₂ u₃ nam-til₃-la-ni-še₃ e₂-mar-uru₅ šutum₂ ki\abs aŋ₂-ŋa₂-ni\abs šag₄ i₃-si-in{ki}-na-ka mu-na-du₃,sipad ŋeš\abs tuku
{d}inana mu-ur₅{ki}\gen {d}inana-ka-ni-ir nam-til₃ {d}li-pi₂-it-eš₄-tar₂ sipad ŋeš\abs tuku diŋir-re-e-ne\gen lugal ki-en-gi ki-uri\gen dam {d}inana-ka-še₃ la-ma-sa₃-tum ama-ne₂ u₃ nam-til₃-la-ni-še₃ e₂-mar-uru₅ šutum₂ ki\abs aŋ₂-ŋa₂-ni\abs šag₄ i₃-si-in{ki}-na-ka mu-na-du₃,diŋir-re-e-ne\gen
{d}inana mu-ur₅{ki}\gen {d}inana-ka-ni-ir nam-til₃ {d}li-pi₂-it-eš₄-tar₂ sipad ŋeš\abs tuku diŋir-re-e-ne\gen lugal ki-en-gi ki-uri\gen dam {d}inana-ka-še₃ la-ma-sa₃-tum ama-ne₂ u₃ nam-til₃-la-ni-še₃ e₂-mar-uru₅ šutum₂ ki\abs aŋ₂-ŋa₂-ni\abs šag₄ i₃-si-in{ki}-na-ka mu-na-du₃,lugal ki-en-gi ki-uri\gen
{d}inana mu-ur₅{ki}\gen {d}inana-ka-ni-ir nam-til₃ {d}li-pi₂-it-eš₄-tar₂ sipad ŋeš\abs tuku diŋir-re-e-ne\gen lugal ki-en-gi ki-uri\gen dam {d}inana-ka-še₃ la-ma-sa₃-tum ama-ne₂ u₃ nam-til₃-la-ni-še₃ e₂-mar-uru₅ šutum₂ ki\abs aŋ₂-ŋa₂-ni\abs šag₄ i₃-si-in{ki}-na-ka mu-na-du₃,dam {d}inana-ka-še₃
{d}inana mu-ur₅{ki}\gen {d}inana-ka-ni-ir nam-til₃ {d}li-pi₂-it-eš₄-tar₂ sipad ŋeš\abs tuku diŋir-re-e-ne\gen lugal ki-en-gi ki-uri\gen dam {d}inana-ka-še₃ la-ma-sa₃-tum ama-ne₂ u₃ nam-til₃-la-ni-še₃ e₂-mar-uru₅ šutum₂ ki\abs aŋ₂-ŋa₂-ni\abs šag₄ i₃-si-in{ki}-na-ka mu-na-du₃,la-ma-sa₃-tum
