Text,Line
|A.AB.BA|-ba-aš₂-ti lukur ki\abs aŋ₂ {d}šu-{d}suen lugal urim₅{ki}-ma-ka\abs,|A.AB.BA|-ba-aš₂-ti
|A.AB.BA|-ba-aš₂-ti lukur ki\abs aŋ₂ {d}šu-{d}suen lugal urim₅{ki}-ma-ka\abs,lukur ki\abs aŋ₂
|A.AB.BA|-ba-aš₂-ti lukur ki\abs aŋ₂ {d}šu-{d}suen lugal urim₅{ki}-ma-ka\abs,{d}šu-{d}suen
|A.AB.BA|-ba-aš₂-ti lukur ki\abs aŋ₂ {d}šu-{d}suen lugal urim₅{ki}-ma-ka\abs,lugal urim₅{ki}-ma-ka\abs
