Text,Line
en-nu bad₃\gen\abs {d}inana-ur-saŋ ugula šag₄ e₂-gal-ka\abs iri-ka-gen₆-na lugal lagaš{ki}\gen\abs,en-nu bad₃\gen\abs
en-nu bad₃\gen\abs {d}inana-ur-saŋ ugula šag₄ e₂-gal-ka\abs iri-ka-gen₆-na lugal lagaš{ki}\gen\abs,{d}inana-ur-saŋ
en-nu bad₃\gen\abs {d}inana-ur-saŋ ugula šag₄ e₂-gal-ka\abs iri-ka-gen₆-na lugal lagaš{ki}\gen\abs,ugula šag₄ e₂-gal-ka\abs
en-nu bad₃\gen\abs {d}inana-ur-saŋ ugula šag₄ e₂-gal-ka\abs iri-ka-gen₆-na lugal lagaš{ki}\gen\abs,iri-ka-gen₆-na
en-nu bad₃\gen\abs {d}inana-ur-saŋ ugula šag₄ e₂-gal-ka\abs iri-ka-gen₆-na lugal lagaš{ki}\gen\abs,lugal
en-nu bad₃\gen\abs {d}inana-ur-saŋ ugula šag₄ e₂-gal-ka\abs iri-ka-gen₆-na lugal lagaš{ki}\gen\abs,lagaš{ki}\gen\abs
