Text,Line
{d}li-pi₂-it-eš₄-tar₂ sipad sun₅-na nibru{ki}\gen engar zid urim₂{ki}-ma muš₃\abs nu-tum₂-mu eridug{ki}-ga en me-te unug{ki}-ga lugal i₃-si-in{ki}-na lugal ki-en-gi ki-uri\gen šag₄-ge\n5el3 de₆-a {d}inana\gen lugal niŋ₂-si-sa₂\abs ki-en-gi ki-uri-a i₃-ni-in-ŋar-ra\abs,{d}li-pi₂-it-eš₄-tar₂
{d}li-pi₂-it-eš₄-tar₂ sipad sun₅-na nibru{ki}\gen engar zid urim₂{ki}-ma muš₃\abs nu-tum₂-mu eridug{ki}-ga en me-te unug{ki}-ga lugal i₃-si-in{ki}-na lugal ki-en-gi ki-uri\gen šag₄-ge\n5el3 de₆-a {d}inana\gen lugal niŋ₂-si-sa₂\abs ki-en-gi ki-uri-a i₃-ni-in-ŋar-ra\abs,sipad sun₅-na
{d}li-pi₂-it-eš₄-tar₂ sipad sun₅-na nibru{ki}\gen engar zid urim₂{ki}-ma muš₃\abs nu-tum₂-mu eridug{ki}-ga en me-te unug{ki}-ga lugal i₃-si-in{ki}-na lugal ki-en-gi ki-uri\gen šag₄-ge\n5el3 de₆-a {d}inana\gen lugal niŋ₂-si-sa₂\abs ki-en-gi ki-uri-a i₃-ni-in-ŋar-ra\abs,nibru{ki}\gen
{d}li-pi₂-it-eš₄-tar₂ sipad sun₅-na nibru{ki}\gen engar zid urim₂{ki}-ma muš₃\abs nu-tum₂-mu eridug{ki}-ga en me-te unug{ki}-ga lugal i₃-si-in{ki}-na lugal ki-en-gi ki-uri\gen šag₄-ge\n5el3 de₆-a {d}inana\gen lugal niŋ₂-si-sa₂\abs ki-en-gi ki-uri-a i₃-ni-in-ŋar-ra\abs,engar zid
{d}li-pi₂-it-eš₄-tar₂ sipad sun₅-na nibru{ki}\gen engar zid urim₂{ki}-ma muš₃\abs nu-tum₂-mu eridug{ki}-ga en me-te unug{ki}-ga lugal i₃-si-in{ki}-na lugal ki-en-gi ki-uri\gen šag₄-ge\n5el3 de₆-a {d}inana\gen lugal niŋ₂-si-sa₂\abs ki-en-gi ki-uri-a i₃-ni-in-ŋar-ra\abs,urim₂{ki}-ma
{d}li-pi₂-it-eš₄-tar₂ sipad sun₅-na nibru{ki}\gen engar zid urim₂{ki}-ma muš₃\abs nu-tum₂-mu eridug{ki}-ga en me-te unug{ki}-ga lugal i₃-si-in{ki}-na lugal ki-en-gi ki-uri\gen šag₄-ge\n5el3 de₆-a {d}inana\gen lugal niŋ₂-si-sa₂\abs ki-en-gi ki-uri-a i₃-ni-in-ŋar-ra\abs,muš₃\abs nu-tum₂-mu
{d}li-pi₂-it-eš₄-tar₂ sipad sun₅-na nibru{ki}\gen engar zid urim₂{ki}-ma muš₃\abs nu-tum₂-mu eridug{ki}-ga en me-te unug{ki}-ga lugal i₃-si-in{ki}-na lugal ki-en-gi ki-uri\gen šag₄-ge\n5el3 de₆-a {d}inana\gen lugal niŋ₂-si-sa₂\abs ki-en-gi ki-uri-a i₃-ni-in-ŋar-ra\abs,eridug{ki}-ga
{d}li-pi₂-it-eš₄-tar₂ sipad sun₅-na nibru{ki}\gen engar zid urim₂{ki}-ma muš₃\abs nu-tum₂-mu eridug{ki}-ga en me-te unug{ki}-ga lugal i₃-si-in{ki}-na lugal ki-en-gi ki-uri\gen šag₄-ge\n5el3 de₆-a {d}inana\gen lugal niŋ₂-si-sa₂\abs ki-en-gi ki-uri-a i₃-ni-in-ŋar-ra\abs,en me-te
{d}li-pi₂-it-eš₄-tar₂ sipad sun₅-na nibru{ki}\gen engar zid urim₂{ki}-ma muš₃\abs nu-tum₂-mu eridug{ki}-ga en me-te unug{ki}-ga lugal i₃-si-in{ki}-na lugal ki-en-gi ki-uri\gen šag₄-ge\n5el3 de₆-a {d}inana\gen lugal niŋ₂-si-sa₂\abs ki-en-gi ki-uri-a i₃-ni-in-ŋar-ra\abs,unug{ki}-ga
{d}li-pi₂-it-eš₄-tar₂ sipad sun₅-na nibru{ki}\gen engar zid urim₂{ki}-ma muš₃\abs nu-tum₂-mu eridug{ki}-ga en me-te unug{ki}-ga lugal i₃-si-in{ki}-na lugal ki-en-gi ki-uri\gen šag₄-ge\n5el3 de₆-a {d}inana\gen lugal niŋ₂-si-sa₂\abs ki-en-gi ki-uri-a i₃-ni-in-ŋar-ra\abs,lugal i₃-si-in{ki}-na
