Text,Line
{d}šul-gi nita kalag-ga lugal urim₅{ki}-ma lugal an-ub-da limmu₂-ba\abs {d}nanna-i₃-sag₉ dub-sar\abs arad₂-zu\abs,{d}šul-gi
{d}šul-gi nita kalag-ga lugal urim₅{ki}-ma lugal an-ub-da limmu₂-ba\abs {d}nanna-i₃-sag₉ dub-sar\abs arad₂-zu\abs,nita kalag-ga
{d}šul-gi nita kalag-ga lugal urim₅{ki}-ma lugal an-ub-da limmu₂-ba\abs {d}nanna-i₃-sag₉ dub-sar\abs arad₂-zu\abs,lugal urim₅{ki}-ma
{d}šul-gi nita kalag-ga lugal urim₅{ki}-ma lugal an-ub-da limmu₂-ba\abs {d}nanna-i₃-sag₉ dub-sar\abs arad₂-zu\abs,lugal an-ub-da limmu₂-ba\abs
{d}šul-gi nita kalag-ga lugal urim₅{ki}-ma lugal an-ub-da limmu₂-ba\abs {d}nanna-i₃-sag₉ dub-sar\abs arad₂-zu\abs,{d}nanna-i₃-sag₉
{d}šul-gi nita kalag-ga lugal urim₅{ki}-ma lugal an-ub-da limmu₂-ba\abs {d}nanna-i₃-sag₉ dub-sar\abs arad₂-zu\abs,dub-sar\abs
{d}šul-gi nita kalag-ga lugal urim₅{ki}-ma lugal an-ub-da limmu₂-ba\abs {d}nanna-i₃-sag₉ dub-sar\abs arad₂-zu\abs,arad₂-zu\abs
