Text,Line
{d}nin-ŋir₂-su ur-saŋ kalag-ga {d}en-lil₂-la₂ lugal-a-ni\dat ur-{d}nin-ŋir₂-su ensi₂ lagaš{ki}\gen dumu gu₃-de₂-a ensi₂ lagaš{ki}-ka-ke₄ nam-til₃-la-ni-še₃ a\abs mu-na-ru,{d}nin-ŋir₂-su
{d}nin-ŋir₂-su ur-saŋ kalag-ga {d}en-lil₂-la₂ lugal-a-ni\dat ur-{d}nin-ŋir₂-su ensi₂ lagaš{ki}\gen dumu gu₃-de₂-a ensi₂ lagaš{ki}-ka-ke₄ nam-til₃-la-ni-še₃ a\abs mu-na-ru,ur-saŋ kalag-ga
{d}nin-ŋir₂-su ur-saŋ kalag-ga {d}en-lil₂-la₂ lugal-a-ni\dat ur-{d}nin-ŋir₂-su ensi₂ lagaš{ki}\gen dumu gu₃-de₂-a ensi₂ lagaš{ki}-ka-ke₄ nam-til₃-la-ni-še₃ a\abs mu-na-ru,{d}en-lil₂-la₂
{d}nin-ŋir₂-su ur-saŋ kalag-ga {d}en-lil₂-la₂ lugal-a-ni\dat ur-{d}nin-ŋir₂-su ensi₂ lagaš{ki}\gen dumu gu₃-de₂-a ensi₂ lagaš{ki}-ka-ke₄ nam-til₃-la-ni-še₃ a\abs mu-na-ru,lugal-a-ni\dat
{d}nin-ŋir₂-su ur-saŋ kalag-ga {d}en-lil₂-la₂ lugal-a-ni\dat ur-{d}nin-ŋir₂-su ensi₂ lagaš{ki}\gen dumu gu₃-de₂-a ensi₂ lagaš{ki}-ka-ke₄ nam-til₃-la-ni-še₃ a\abs mu-na-ru,ur-{d}nin-ŋir₂-su
{d}nin-ŋir₂-su ur-saŋ kalag-ga {d}en-lil₂-la₂ lugal-a-ni\dat ur-{d}nin-ŋir₂-su ensi₂ lagaš{ki}\gen dumu gu₃-de₂-a ensi₂ lagaš{ki}-ka-ke₄ nam-til₃-la-ni-še₃ a\abs mu-na-ru,ensi₂
{d}nin-ŋir₂-su ur-saŋ kalag-ga {d}en-lil₂-la₂ lugal-a-ni\dat ur-{d}nin-ŋir₂-su ensi₂ lagaš{ki}\gen dumu gu₃-de₂-a ensi₂ lagaš{ki}-ka-ke₄ nam-til₃-la-ni-še₃ a\abs mu-na-ru,lagaš{ki}\gen
{d}nin-ŋir₂-su ur-saŋ kalag-ga {d}en-lil₂-la₂ lugal-a-ni\dat ur-{d}nin-ŋir₂-su ensi₂ lagaš{ki}\gen dumu gu₃-de₂-a ensi₂ lagaš{ki}-ka-ke₄ nam-til₃-la-ni-še₃ a\abs mu-na-ru,dumu gu₃-de₂-a
{d}nin-ŋir₂-su ur-saŋ kalag-ga {d}en-lil₂-la₂ lugal-a-ni\dat ur-{d}nin-ŋir₂-su ensi₂ lagaš{ki}\gen dumu gu₃-de₂-a ensi₂ lagaš{ki}-ka-ke₄ nam-til₃-la-ni-še₃ a\abs mu-na-ru,ensi₂
{d}nin-ŋir₂-su ur-saŋ kalag-ga {d}en-lil₂-la₂ lugal-a-ni\dat ur-{d}nin-ŋir₂-su ensi₂ lagaš{ki}\gen dumu gu₃-de₂-a ensi₂ lagaš{ki}-ka-ke₄ nam-til₃-la-ni-še₃ a\abs mu-na-ru,lagaš{ki}-ka-ke₄
{d}nin-ŋir₂-su ur-saŋ kalag-ga {d}en-lil₂-la₂ lugal-a-ni\dat ur-{d}nin-ŋir₂-su ensi₂ lagaš{ki}\gen dumu gu₃-de₂-a ensi₂ lagaš{ki}-ka-ke₄ nam-til₃-la-ni-še₃ a\abs mu-na-ru,nam-til₃-la-ni-še₃
{d}nin-ŋir₂-su ur-saŋ kalag-ga {d}en-lil₂-la₂ lugal-a-ni\dat ur-{d}nin-ŋir₂-su ensi₂ lagaš{ki}\gen dumu gu₃-de₂-a ensi₂ lagaš{ki}-ka-ke₄ nam-til₃-la-ni-še₃ a\abs mu-na-ru,a\abs mu-na-ru
