Text,Line
{d}šul-gi-si₂-im-ti lukur ki\abs aŋ₂ lugal\gen\abs ha-li₂-li₂ dub-sar dumu šu-i₃-li₂\gen\abs arad₂-zu\abs,{d}šul-gi-si₂-im-ti
{d}šul-gi-si₂-im-ti lukur ki\abs aŋ₂ lugal\gen\abs ha-li₂-li₂ dub-sar dumu šu-i₃-li₂\gen\abs arad₂-zu\abs,lukur ki\abs aŋ₂ lugal\gen\abs
{d}šul-gi-si₂-im-ti lukur ki\abs aŋ₂ lugal\gen\abs ha-li₂-li₂ dub-sar dumu šu-i₃-li₂\gen\abs arad₂-zu\abs,ha-li₂-li₂ dub-sar
{d}šul-gi-si₂-im-ti lukur ki\abs aŋ₂ lugal\gen\abs ha-li₂-li₂ dub-sar dumu šu-i₃-li₂\gen\abs arad₂-zu\abs,dumu šu-i₃-li₂\gen\abs arad₂-zu\abs
