id_text,text_name,l_no,text
dcclt/Q000052,Nippur Nigga,80,sux:niŋ[thing]N sux:dug[good]V/i
dcclt/Q000052,Nippur Nigga,81,sux:niŋ[thing]N sux:dug[good]V/i
dcclt/Q000052,Nippur Nigga,82,sux:niŋ[thing]N sux:suh[extract]V/t
dcclt/Q000052,Nippur Nigga,83,sux:niŋ[thing]N sux:de[bring]V/t
dcclt/Q000052,Nippur Nigga,84,sux:niŋba[gift]N sux:ŋar[place]V/t
dcclt/Q000052,Nippur Nigga,85,sux:niŋba[gift]N
dcclt/Q000052,Nippur Nigga,86,sux:niŋ[thing]N sux:sed[cold]V/i
dcclt/Q000052,Nippur Nigga,87,sux:niŋ[thing]N sux:mu[name]N sux:tuku[acquire]V/t
dcclt/Q000052,Nippur Nigga,88,sux:niŋ[thing]N sux:ana[what?]QP sux:mu[name]N sux:še[call]V/t
dcclt/Q000052,Nippur Nigga,89,sux:niŋmupada[reputation]N
dcclt/Q000052,Nippur Nigga,90,sux:niŋ[thing]N sux:kisaha[offering]N
dcclt/Q000052,Nippur Nigga,91,sux:niŋsaha[fruit]N
dcclt/Q000052,Nippur Nigga,92,sux:niŋ[thing]N sux:zal[pass]V/t
dcclt/Q000052,Nippur Nigga,93,sux:niŋ[thing]N sux:zal[pass]V/t
dcclt/Q000052,Nippur Nigga,94,sux:niŋgula[greatness]N
dcclt/Q000052,Nippur Nigga,95,sux:niŋgula[greatness]N
dcclt/Q000052,Nippur Nigga,96,sux:niŋtuku[rich]AJ
dcclt/Q000052,Nippur Nigga,97,sux:niŋ[thing]N sux:tuku[acquire]V/t
dcclt/Q000052,Nippur Nigga,98,sux:niŋtukutuku[rich]AJ
dcclt/Q000052,Nippur Nigga,99,sux:niŋ[thing]N sux:ŋeli[throat]N
dcclt/Q000052,Nippur Nigga,100,sux:niŋ[thing]N sux:gu[neck]N
dcclt/Q000052,Nippur Nigga,101,sux:niŋguna[tribute]N
dcclt/Q000052,Nippur Nigga,102,sux:niŋhalama[destruction]N
dcclt/Q000052,Nippur Nigga,103,sux:niŋ[thing]N sux:huldim[rotten]AJ
dcclt/Q000052,Nippur Nigga,104,sux:niŋ[thing]N sux:huldim[rotten]AJ
dcclt/Q000052,Nippur Nigga,105,sux:niŋhulu[evil]N sux:gig[sick]V/i
dcclt/Q000052,Nippur Nigga,106,sux:niŋ[thing]N sux:izi[fire]N sux:sig[cast]V/t
dcclt/Q000052,Nippur Nigga,107,sux:niŋ[thing]N sux:gida[spear]N
dcclt/Q000052,Nippur Nigga,108,sux:niŋ[thing]N sux:tag[touch]V/t
dcclt/Q000052,Nippur Nigga,109,sux:niŋdim[object]N
dcclt/Q000052,Nippur Nigga,110,sux:niŋdimdima[magic]N
dcclt/Q000052,Nippur Nigga,111,sux:niŋdim[object]N sux:gul[destroy]V/t
dcclt/Q000052,Nippur Nigga,112,sux:niŋ[thing]N sux:iginiŋin[devastation]N
dcclt/Q000052,Nippur Nigga,113,sux:niŋtab[fire-box]N
dcclt/Q000052,Nippur Nigga,114,sux:niŋ[thing]N
dcclt/Q000052,Nippur Nigga,115,sux:zig[rise]V/t
dcclt/Q000052,Nippur Nigga,116,sux:niŋnuŋara[malice]N
dcclt/Q000052,Nippur Nigga,117,sux:niŋ[thing]N sux:ŋar[place]V/t
dcclt/Q000052,Nippur Nigga,118,sux:niŋ[thing]N sux:gin[firm]V/i
dcclt/Q000052,Nippur Nigga,119,sux:pad[break]V/t
dcclt/Q000052,Nippur Nigga,120,sux:kurum[ration]N
dcclt/Q000052,Nippur Nigga,121,sux:šutug[reed-hut]N
dcclt/Q000052,Nippur Nigga,122,sux:tunpad[piece]N
dcclt/Q000052,Nippur Nigga,123,sux:pad[break]V/t
dcclt/Q000052,Nippur Nigga,124,sux:kurum[ration]N sux:hal[divide]V/t
dcclt/Q000052,Nippur Nigga,125,sux:niŋ[thing]N sux:hal[divide]V/t
dcclt/Q000052,Nippur Nigga,126,sux:niŋba[gift]N
dcclt/Q000052,Nippur Nigga,127,sux:niŋ[thing]N
dcclt/Q000052,Nippur Nigga,128,sux:niŋsiga[meal]N
dcclt/Q000052,Nippur Nigga,129,sux:niŋ[thing]N sux:dab[seize]V/t
dcclt/Q000052,Nippur Nigga,130,sux:niŋ[thing]N sux:dab[seize]V/t
dcclt/Q000052,Nippur Nigga,131,sux:niŋ[thing]N sux:šub[fall]V/t
dcclt/Q000052,Nippur Nigga,132,sux:niŋ[thing]N sux:gurud[throw]V/t
dcclt/Q000052,Nippur Nigga,133,sux:niŋ₂.DI[behavior?]N
dcclt/Q000052,Nippur Nigga,134,sux:niŋ[thing]N sux:kindagal[official]N
dcclt/Q000052,Nippur Nigga,136,sux:niŋheše[oppression]N
dcclt/Q000052,Nippur Nigga,137,sux:niŋlala[tool]N
dcclt/Q000052,Nippur Nigga,138,sux:niŋlalaʾe[bandage]N
dcclt/Q000052,Nippur Nigga,140,sux:niŋki[herd]N
dcclt/Q000052,Nippur Nigga,141,sux:niŋki[caterpillar]N
dcclt/Q000052,Nippur Nigga,142,sux:niŋluʾur[heaped]AJ
dcclt/Q000052,Nippur Nigga,143,sux:niŋluʾur[heaped]AJ sux:sud[distant]V/i
dcclt/Q000052,Nippur Nigga,144,sux:niŋurum[property]N
dcclt/Q000052,Nippur Nigga,145,sux:niŋsakar[tool]N
dcclt/Q000052,Nippur Nigga,146,sux:niŋsakar[tool]N sux:burud[perforate]V/t
dcclt/Q000052,Nippur Nigga,147,sux:niŋ[thing]N sux:til[complete]V/i
dcclt/Q000052,Nippur Nigga,148,sux:tab[double]V/t
dcclt/Q000052,Nippur Nigga,150,sux:niŋsasa[burning]N
dcclt/Q000052,Nippur Nigga,151,sux:niŋbarag[quilt]N
dcclt/Q000052,Nippur Nigga,152,sux:niŋbarag[quilt]N sux:tab[double]V/t
dcclt/Q000052,Nippur Nigga,153,sux:niŋŋar[sum]N
